# Data scraped on: 2025-05-22 02:25:28
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,LA Angels,11.94,13.00,10.00,11.00,12.55,13.48
2,Texas,12.82,13.33,13.00,12.74,12.91,13.86
3,Cleveland,13.15,17.67,15.00,13.09,13.19,13.34
4,Colorado,13.16,10.67,16.00,14.13,12.24,13.38
5,Washington,13.39,10.33,13.00,13.30,13.46,13.31
6,LA Dodgers,13.70,9.67,7.00,14.26,13.04,14.93
7,Baltimore,13.90,16.33,21.00,13.30,14.44,14.51
8,Chi Sox,13.96,13.67,14.00,13.13,14.73,13.31
9,SF Giants,14.22,17.00,16.00,15.31,13.04,14.67
10,Kansas City,14.31,13.00,19.00,14.23,14.40,12.61
11,San Diego,14.34,11.00,11.00,13.92,14.78,13.98
12,Sacramento,14.36,19.67,27.00,15.29,13.50,13.63
13,Milwaukee,14.38,18.67,14.00,13.16,15.60,14.73
14,Cincinnati,14.39,10.33,6.00,12.88,15.85,12.72
15,Minnesota,14.63,14.33,8.00,15.17,14.15,14.57
16,Pittsburgh,14.64,14.33,15.00,14.52,14.76,14.65
17,Tampa Bay,14.65,15.67,16.00,14.58,14.78,14.41
18,Detroit,14.68,12.00,17.00,15.14,14.32,13.57
19,Miami,14.69,11.00,15.00,15.25,13.90,13.91
20,Atlanta,14.88,15.67,9.00,14.82,14.92,14.35
21,Houston,14.94,12.67,10.00,15.67,14.24,15.03
22,Boston,15.04,13.33,12.00,14.62,15.48,14.65
23,Arizona,15.10,13.67,14.00,16.31,13.79,14.53
24,Chi Cubs,15.12,13.33,11.00,15.78,14.56,14.25
25,Seattle,15.19,11.67,14.00,13.25,17.13,14.69
26,NY Mets,15.22,15.67,20.00,14.23,16.00,14.98
27,Toronto,15.42,15.33,20.00,15.19,15.71,14.37
28,NY Yankees,15.54,12.67,5.00,13.38,18.09,14.94
29,Philadelphia,15.71,20.67,23.00,15.48,15.96,14.42
30,St. Louis,16.30,16.33,16.00,17.21,15.46,14.77
