# Data scraped on: 2025-05-22 02:25:34
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Yankees,0.346,0.327,0.250,0.337,0.355,0.333
2,LA Dodgers,0.343,0.262,0.200,0.363,0.318,0.335
3,Philadelphia,0.340,0.407,0.386,0.346,0.334,0.324
4,Chi Cubs,0.335,0.389,0.286,0.338,0.333,0.317
5,Arizona,0.335,0.284,0.257,0.349,0.320,0.337
6,St. Louis,0.334,0.327,0.212,0.356,0.314,0.312
7,Detroit,0.331,0.291,0.375,0.343,0.322,0.301
8,NY Mets,0.328,0.315,0.350,0.329,0.327,0.321
9,Seattle,0.324,0.298,0.333,0.299,0.346,0.311
10,Boston,0.324,0.294,0.257,0.331,0.316,0.319
11,San Diego,0.322,0.202,0.152,0.333,0.312,0.323
12,Toronto,0.319,0.318,0.422,0.320,0.317,0.313
13,Atlanta,0.318,0.398,0.242,0.329,0.309,0.308
14,Cincinnati,0.317,0.269,0.242,0.308,0.325,0.305
15,Houston,0.317,0.312,0.286,0.344,0.291,0.322
16,Sacramento,0.315,0.361,0.378,0.325,0.305,0.301
17,SF Giants,0.313,0.315,0.341,0.328,0.296,0.305
18,Minnesota,0.312,0.319,0.212,0.331,0.296,0.315
19,Washington,0.312,0.374,0.400,0.320,0.304,0.309
20,Miami,0.311,0.292,0.286,0.324,0.294,0.300
21,Milwaukee,0.308,0.339,0.238,0.296,0.318,0.325
22,Tampa Bay,0.307,0.318,0.400,0.317,0.291,0.302
23,Cleveland,0.307,0.328,0.350,0.296,0.315,0.308
24,Kansas City,0.300,0.333,0.395,0.302,0.299,0.306
25,Baltimore,0.300,0.301,0.340,0.306,0.294,0.314
26,Pittsburgh,0.299,0.314,0.371,0.312,0.285,0.301
27,Texas,0.290,0.286,0.333,0.295,0.285,0.305
28,Colorado,0.286,0.284,0.359,0.313,0.259,0.304
29,Chi Sox,0.286,0.245,0.270,0.285,0.287,0.278
30,LA Angels,0.285,0.347,0.415,0.276,0.291,0.301
