# Data scraped on: 2025-05-22 02:25:39
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Yankees,0.821,0.784,0.698,0.821,0.821,0.761
2,LA Dodgers,0.813,0.637,0.476,0.860,0.758,0.779
3,Arizona,0.783,0.724,0.560,0.818,0.748,0.777
4,Chi Cubs,0.782,0.919,0.680,0.761,0.800,0.710
5,Philadelphia,0.754,1.025,0.965,0.778,0.732,0.746
6,Detroit,0.752,0.652,0.675,0.762,0.745,0.684
7,Boston,0.743,0.650,0.483,0.750,0.736,0.741
8,St. Louis,0.736,0.725,0.373,0.792,0.687,0.703
9,NY Mets,0.736,0.620,0.779,0.765,0.715,0.734
10,Sacramento,0.731,0.824,0.891,0.744,0.719,0.694
11,Seattle,0.723,0.652,0.819,0.673,0.767,0.687
12,San Diego,0.711,0.462,0.424,0.724,0.698,0.743
13,Cincinnati,0.709,0.603,0.415,0.702,0.714,0.693
14,Atlanta,0.708,0.926,0.649,0.739,0.682,0.722
15,Toronto,0.704,0.722,0.997,0.735,0.666,0.703
16,Washington,0.701,0.968,0.829,0.742,0.666,0.684
17,SF Giants,0.701,0.693,0.856,0.730,0.669,0.701
18,Miami,0.698,0.711,0.512,0.713,0.677,0.678
19,LA Angels,0.697,0.966,1.257,0.677,0.710,0.671
20,Minnesota,0.696,0.648,0.350,0.719,0.677,0.726
21,Houston,0.694,0.783,0.786,0.745,0.646,0.738
22,Baltimore,0.690,0.681,0.775,0.744,0.640,0.747
23,Cleveland,0.689,0.731,0.807,0.636,0.731,0.702
24,Tampa Bay,0.676,0.761,1.076,0.698,0.639,0.669
25,Kansas City,0.667,0.776,0.945,0.661,0.673,0.705
26,Texas,0.663,0.680,0.861,0.643,0.685,0.686
27,Milwaukee,0.657,0.776,0.520,0.636,0.676,0.729
28,Colorado,0.648,0.663,0.831,0.727,0.569,0.704
29,Pittsburgh,0.619,0.595,0.738,0.647,0.591,0.672
30,Chi Sox,0.618,0.585,0.785,0.619,0.616,0.618
