# Data scraped on: 2025-05-22 02:25:44
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Chi Cubs,5.72,7.33,1.00,5.70,5.74,4.30
2,NY Yankees,5.50,5.33,4.00,5.54,5.45,4.80
3,LA Dodgers,5.48,4.00,3.00,5.93,4.96,5.09
4,Detroit,5.10,4.67,5.00,4.95,5.21,4.00
5,Arizona,4.98,4.33,1.00,4.88,5.08,5.22
6,Philadelphia,4.67,7.67,7.00,4.84,4.50,4.58
7,Seattle,4.56,3.67,6.00,4.13,5.00,3.96
8,St. Louis,4.52,5.00,1.00,4.63,4.42,3.94
9,Boston,4.51,2.00,1.00,4.65,4.36,4.47
10,SF Giants,4.40,2.67,4.00,4.08,4.75,4.08
11,Cincinnati,4.31,2.67,1.00,3.96,4.65,4.09
12,NY Mets,4.18,2.00,5.00,4.09,4.25,4.57
13,Washington,4.08,8.00,4.00,4.17,4.00,3.83
14,Sacramento,4.08,4.00,5.00,4.04,4.12,3.82
15,LA Angels,4.06,6.67,9.00,3.79,4.24,3.68
16,Atlanta,3.96,6.33,3.00,4.23,3.73,4.13
17,Miami,3.94,3.33,1.00,4.00,3.85,3.77
17,Toronto,3.94,6.00,13.00,4.30,3.48,3.95
19,Minnesota,3.92,3.00,1.00,4.39,3.50,4.33
20,San Diego,3.85,0.33,0.00,3.79,3.91,4.47
21,Milwaukee,3.84,4.33,4.00,3.36,4.32,4.56
22,Houston,3.80,3.33,4.00,4.33,3.28,4.32
23,Tampa Bay,3.78,4.67,8.00,3.81,3.72,3.48
24,Cleveland,3.77,3.67,5.00,3.14,4.31,4.15
25,Baltimore,3.63,4.67,8.00,4.09,3.20,4.63
26,Texas,3.36,2.67,3.00,3.52,3.17,4.02
27,Kansas City,3.33,4.33,8.00,3.15,3.52,4.32
28,Colorado,3.33,4.00,5.00,4.25,2.44,4.04
29,Chi Sox,3.18,2.33,5.00,3.67,2.73,2.99
30,Pittsburgh,2.86,1.67,3.00,3.16,2.56,3.97
