# Data scraped on: 2025-05-22 02:25:49
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,LA Angels,2.81,3.00,4.00,2.79,2.83,3.22
2,Cleveland,3.00,4.33,4.00,2.82,3.15,3.17
3,SF Giants,3.04,5.00,5.00,3.58,2.46,3.40
4,Washington,3.06,2.00,1.00,2.87,3.23,3.46
5,Colorado,3.08,3.33,3.00,3.54,2.64,3.19
6,Chi Sox,3.10,3.33,3.00,2.92,3.27,3.22
7,Texas,3.12,4.33,5.00,2.93,3.35,3.22
8,Tampa Bay,3.16,3.33,4.00,3.10,3.28,3.54
9,Baltimore,3.21,4.67,7.00,2.96,3.44,3.47
10,LA Dodgers,3.22,2.00,0.00,3.33,3.09,3.57
11,Minnesota,3.22,4.33,2.00,3.17,3.27,3.44
12,Pittsburgh,3.28,3.67,3.00,3.32,3.24,3.44
13,Houston,3.37,1.67,0.00,3.50,3.24,3.39
14,Detroit,3.44,3.33,6.00,3.36,3.50,3.23
15,Miami,3.46,2.33,4.00,3.82,2.95,3.28
16,Cincinnati,3.51,3.67,2.00,2.92,4.08,3.36
17,Kansas City,3.53,2.00,4.00,3.58,3.48,3.07
18,Sacramento,3.58,6.00,9.00,3.92,3.27,3.27
19,San Diego,3.64,4.00,5.00,3.63,3.65,3.31
20,Atlanta,3.65,4.00,1.00,3.64,3.65,3.29
21,St. Louis,3.68,3.67,3.00,4.04,3.35,3.60
22,NY Mets,3.70,3.67,4.00,3.32,4.00,3.42
23,Seattle,3.73,4.33,6.00,3.08,4.38,3.31
24,Arizona,3.74,2.67,2.00,3.88,3.58,3.54
25,Boston,3.80,4.33,3.00,3.88,3.72,3.57
26,Milwaukee,3.82,5.67,6.00,3.56,4.08,3.75
27,Toronto,3.90,3.00,4.00,3.59,4.29,3.47
28,Philadelphia,3.92,5.00,6.00,3.64,4.21,3.61
29,Chi Cubs,3.96,3.33,2.00,4.22,3.74,3.77
30,NY Yankees,4.02,2.67,1.00,3.31,4.86,3.49
