# Data scraped on: 2025-05-22 02:25:54
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Chi Cubs,5.86,7.67,2.00,5.91,5.81,4.54
2,NY Yankees,5.73,5.67,4.00,5.77,5.68,5.01
3,LA Dodgers,5.68,4.00,3.00,6.15,5.13,5.26
4,Detroit,5.34,4.67,5.00,5.27,5.39,4.16
5,Arizona,5.12,4.33,1.00,5.08,5.17,5.47
6,Philadelphia,4.92,8.33,9.00,5.16,4.67,4.80
7,St. Louis,4.80,5.33,1.00,4.88,4.73,4.15
8,Seattle,4.73,3.67,6.00,4.25,5.21,4.17
9,Boston,4.71,2.00,1.00,4.85,4.56,4.64
10,SF Giants,4.60,2.67,4.00,4.31,4.92,4.28
11,Cincinnati,4.47,2.67,1.00,4.16,4.77,4.31
12,NY Mets,4.36,2.00,5.00,4.18,4.50,4.75
13,Washington,4.33,8.33,5.00,4.39,4.27,4.07
14,Sacramento,4.24,4.33,5.00,4.25,4.23,3.97
14,Milwaukee,4.24,4.67,4.00,3.76,4.72,4.78
16,San Diego,4.23,0.33,0.00,4.21,4.26,4.67
17,LA Angels,4.21,7.00,10.00,4.00,4.34,3.92
18,Atlanta,4.13,6.33,3.00,4.32,3.96,4.32
19,Miami,4.10,3.33,1.00,4.25,3.90,3.93
20,Minnesota,4.10,3.00,1.00,4.61,3.65,4.58
21,Toronto,4.08,6.33,14.00,4.44,3.62,4.14
22,Cleveland,4.00,3.67,5.00,3.45,4.46,4.37
23,Houston,3.98,3.33,4.00,4.46,3.52,4.56
24,Tampa Bay,3.94,4.67,8.00,3.90,4.00,3.73
25,Baltimore,3.81,4.67,8.00,4.26,3.40,4.80
26,Texas,3.42,2.67,3.00,3.59,3.22,4.22
27,Kansas City,3.37,4.33,8.00,3.23,3.52,4.46
28,Colorado,3.35,4.00,5.00,4.29,2.44,4.21
29,Chi Sox,3.28,2.33,5.00,3.71,2.88,3.13
30,Pittsburgh,2.92,1.67,3.00,3.20,2.64,4.10
