# Data scraped on: 2025-05-22 02:25:59
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Arizona,0.42,0.33,0.00,0.50,0.33,0.41
2,Cleveland,0.42,0.67,2.00,0.18,0.62,0.26
3,NY Yankees,0.40,0.33,0.00,0.42,0.36,0.35
4,NY Mets,0.36,0.33,1.00,0.27,0.43,0.25
5,Kansas City,0.35,1.00,2.00,0.38,0.32,0.33
6,Chi Cubs,0.34,0.33,0.00,0.48,0.22,0.25
6,LA Dodgers,0.34,0.33,0.00,0.30,0.39,0.33
8,Tampa Bay,0.33,0.33,0.00,0.39,0.22,0.20
9,St. Louis,0.32,0.67,0.00,0.33,0.31,0.29
9,Detroit,0.32,1.00,2.00,0.23,0.39,0.25
11,Toronto,0.31,0.00,0.00,0.33,0.29,0.28
12,San Diego,0.30,0.00,0.00,0.29,0.30,0.20
13,Baltimore,0.27,0.33,1.00,0.17,0.36,0.27
14,Philadelphia,0.27,1.00,1.00,0.28,0.25,0.24
15,Texas,0.26,0.33,0.00,0.26,0.26,0.19
16,Washington,0.24,1.00,1.00,0.30,0.19,0.25
17,SF Giants,0.24,0.00,0.00,0.19,0.29,0.29
18,Seattle,0.23,0.00,0.00,0.21,0.25,0.21
18,Miami,0.23,0.00,0.00,0.32,0.10,0.25
20,Houston,0.22,0.00,0.00,0.38,0.08,0.29
20,Minnesota,0.22,0.33,0.00,0.30,0.15,0.29
22,Milwaukee,0.22,0.00,0.00,0.20,0.24,0.21
23,Boston,0.22,0.33,1.00,0.23,0.20,0.25
24,Atlanta,0.21,0.67,0.00,0.27,0.15,0.24
24,LA Angels,0.21,0.00,0.00,0.26,0.17,0.22
26,Colorado,0.20,0.00,0.00,0.38,0.04,0.28
27,Sacramento,0.20,0.00,0.00,0.21,0.19,0.23
27,Chi Sox,0.20,0.00,0.00,0.17,0.23,0.17
29,Pittsburgh,0.18,0.33,1.00,0.24,0.12,0.29
30,Cincinnati,0.18,0.33,0.00,0.16,0.19,0.27
