# Data scraped on: 2025-05-22 02:26:05
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Milwaukee,0.24,0.33,0.00,0.36,0.12,0.09
2,Toronto,0.23,0.67,1.00,0.30,0.14,0.09
3,San Diego,0.21,0.00,0.00,0.25,0.17,0.17
4,Miami,0.19,0.00,0.00,0.25,0.10,0.15
5,Washington,0.18,0.33,0.00,0.17,0.19,0.16
6,Kansas City,0.18,0.67,1.00,0.23,0.12,0.14
7,Seattle,0.17,0.00,0.00,0.17,0.17,0.09
8,Houston,0.16,0.00,0.00,0.08,0.24,0.08
9,SF Giants,0.16,0.00,0.00,0.19,0.13,0.06
9,Arizona,0.16,0.00,0.00,0.19,0.13,0.21
11,Cleveland,0.15,0.00,0.00,0.14,0.15,0.11
12,Colorado,0.12,0.67,1.00,0.21,0.04,0.12
13,Atlanta,0.10,0.00,0.00,0.18,0.04,0.05
14,St. Louis,0.10,0.00,0.00,0.08,0.12,0.10
14,Chi Sox,0.10,0.00,0.00,0.08,0.12,0.11
14,Chi Cubs,0.10,0.00,0.00,0.13,0.07,0.10
17,LA Angels,0.08,0.33,1.00,0.11,0.07,0.07
18,Philadelphia,0.08,0.00,0.00,0.04,0.13,0.08
19,Detroit,0.08,0.00,0.00,0.09,0.07,0.02
19,Pittsburgh,0.08,0.00,0.00,0.12,0.04,0.10
21,Boston,0.08,0.33,0.00,0.12,0.04,0.04
22,Sacramento,0.06,0.00,0.00,0.04,0.08,0.12
22,LA Dodgers,0.06,0.00,0.00,0.07,0.04,0.08
24,Cincinnati,0.06,0.00,0.00,0.00,0.12,0.11
25,NY Mets,0.04,0.00,0.00,0.00,0.07,0.06
25,Texas,0.04,0.00,0.00,0.04,0.04,0.04
27,Baltimore,0.02,0.00,0.00,0.00,0.04,0.04
27,NY Yankees,0.02,0.00,0.00,0.04,0.00,0.09
29,Minnesota,0.02,0.33,0.00,0.04,0.00,0.06
30,Tampa Bay,0.00,0.00,0.00,0.00,0.00,0.06
