# Data scraped on: 2025-05-22 02:26:10
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Philadelphia,6.29,10.33,8.00,5.96,6.63,5.61
2,St. Louis,6.08,7.00,5.00,6.54,5.65,5.68
3,San Diego,6.06,4.00,2.00,5.75,6.39,6.03
4,Detroit,5.92,4.33,5.00,5.82,6.00,5.05
5,Tampa Bay,5.76,4.33,5.00,5.61,6.00,5.10
6,Atlanta,5.73,8.33,3.00,6.32,5.23,5.13
6,Toronto,5.73,5.33,9.00,5.11,6.52,5.21
8,Sacramento,5.70,6.67,8.00,5.96,5.46,5.01
9,Houston,5.69,6.00,4.00,6.17,5.24,6.07
10,Miami,5.67,4.33,5.00,5.64,5.70,5.75
11,Kansas City,5.65,8.00,12.00,5.62,5.68,5.43
12,Chi Cubs,5.60,9.33,5.00,5.35,5.81,5.35
13,LA Dodgers,5.56,2.67,4.00,5.85,5.22,5.37
14,Boston,5.51,3.67,5.00,5.27,5.76,5.36
15,Minnesota,5.35,4.33,2.00,5.61,5.12,5.17
16,Washington,5.33,5.67,6.00,5.43,5.23,5.47
17,Milwaukee,5.32,4.67,5.00,4.80,5.84,5.55
18,Pittsburgh,5.26,5.00,7.00,5.32,5.20,5.37
19,Seattle,5.23,3.67,3.00,4.21,6.25,4.75
20,Cincinnati,5.22,3.67,3.00,5.00,5.42,4.75
21,NY Yankees,5.15,3.67,2.00,4.23,6.23,5.23
22,NY Mets,5.12,5.67,7.00,5.23,5.04,5.35
23,Cleveland,5.08,6.00,8.00,4.68,5.42,5.09
24,Baltimore,5.06,6.67,10.00,4.78,5.32,5.30
25,SF Giants,5.04,4.67,4.00,5.65,4.38,5.12
26,Arizona,5.02,5.33,6.00,4.77,5.29,5.76
26,Texas,5.02,6.00,7.00,5.19,4.83,5.50
28,Chi Sox,4.88,4.33,4.00,4.67,5.08,5.06
29,Colorado,4.53,5.00,7.00,4.79,4.28,5.17
30,LA Angels,4.35,5.00,5.00,4.11,4.52,5.06
