# Data scraped on: 2025-05-22 02:26:19
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Tampa Bay,1.63,3.67,5.00,1.58,1.72,1.43
2,Milwaukee,1.58,2.00,2.00,1.64,1.52,1.61
3,Chi Cubs,1.46,1.33,2.00,2.04,0.96,1.07
4,Washington,1.35,1.67,2.00,1.26,1.42,1.83
5,Cincinnati,1.33,0.67,1.00,1.16,1.50,1.56
6,Seattle,1.29,1.33,2.00,1.08,1.50,1.04
7,Pittsburgh,1.26,1.00,1.00,1.08,1.44,0.77
8,Boston,1.24,0.67,0.00,1.35,1.12,1.16
9,Miami,1.21,1.67,0.00,1.39,0.95,1.04
10,Kansas City,1.16,1.33,1.00,1.35,0.96,1.03
11,Arizona,1.10,0.33,0.00,1.00,1.21,0.92
11,Texas,1.10,2.33,3.00,1.19,1.00,0.75
13,Philadelphia,1.06,1.00,2.00,1.08,1.04,1.10
14,Cleveland,1.02,0.67,0.00,1.18,0.88,1.18
15,San Diego,0.96,0.00,0.00,1.17,0.74,0.88
16,Chi Sox,0.94,1.00,1.00,1.00,0.88,0.76
17,NY Yankees,0.94,0.67,0.00,0.73,1.18,0.74
18,NY Mets,0.88,2.00,3.00,1.00,0.79,0.77
19,LA Dodgers,0.86,0.33,0.00,0.89,0.83,0.99
20,Atlanta,0.85,0.67,0.00,0.77,0.92,0.55
21,St. Louis,0.84,0.33,0.00,1.04,0.65,0.74
22,Toronto,0.83,1.00,1.00,0.85,0.81,0.54
23,Minnesota,0.76,1.00,1.00,0.91,0.62,0.54
24,Baltimore,0.75,1.00,0.00,0.74,0.76,0.75
25,Houston,0.73,1.67,0.00,0.54,0.92,0.73
26,SF Giants,0.72,0.00,0.00,0.65,0.79,0.56
27,Colorado,0.69,1.00,1.00,0.79,0.60,0.72
28,Sacramento,0.66,2.00,1.00,0.71,0.62,0.77
29,LA Angels,0.63,1.33,2.00,0.47,0.72,1.13
30,Detroit,0.48,0.33,0.00,0.45,0.50,0.62
