# Data scraped on: 2025-05-22 02:26:29
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,San Diego,6.94,7.67,10.00,6.42,7.48,6.63
2,Kansas City,6.94,7.33,5.00,6.31,7.60,7.20
3,Toronto,7.44,8.00,7.00,7.19,7.76,7.61
4,Sacramento,7.46,6.67,8.00,7.08,7.81,9.27
5,NY Mets,7.60,7.00,7.00,7.27,7.86,8.56
5,Arizona,7.60,9.67,11.00,6.19,9.13,7.81
7,St. Louis,7.62,7.33,9.00,6.83,8.35,8.14
8,Philadelphia,7.76,5.00,3.00,7.12,8.42,8.48
9,Cleveland,7.79,7.33,6.00,8.27,7.38,7.51
10,Houston,7.82,9.33,12.00,7.83,7.80,7.31
11,Chi Cubs,7.96,8.00,8.00,7.52,8.33,8.41
11,Texas,7.96,11.67,11.00,7.26,8.78,7.93
13,Washington,7.98,8.33,4.00,8.00,7.96,7.53
14,Milwaukee,8.14,7.00,8.00,8.24,8.04,8.97
15,Minnesota,8.16,8.00,7.00,8.39,7.96,8.06
16,LA Dodgers,8.18,6.00,9.00,7.11,9.43,8.20
17,Atlanta,8.35,6.33,4.00,8.27,8.42,9.05
18,Miami,8.42,5.67,3.00,8.21,8.70,8.70
19,Chi Sox,8.46,8.67,10.00,8.17,8.73,8.66
20,Tampa Bay,8.47,7.33,8.00,8.00,9.28,9.17
21,SF Giants,8.52,7.33,7.00,7.12,10.04,8.96
22,Pittsburgh,8.66,6.33,7.00,8.36,8.96,9.30
23,Detroit,8.70,8.00,7.00,8.27,9.04,9.12
24,Seattle,8.81,6.33,8.00,9.17,8.46,10.03
25,NY Yankees,8.92,7.67,10.00,7.69,10.36,8.22
26,Baltimore,8.96,10.67,10.00,8.87,9.04,8.42
27,Cincinnati,8.96,7.67,8.00,8.16,9.73,9.01
28,Boston,9.12,9.33,16.00,8.27,10.00,9.69
29,LA Angels,9.79,10.00,8.00,9.95,9.69,8.74
30,Colorado,9.80,9.00,7.00,9.42,10.16,9.98
