# Data scraped on: 2025-05-22 02:26:34
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,LA Angels,5.67,5.67,5.00,5.53,5.76,6.27
2,Texas,6.14,7.67,9.00,5.74,6.61,6.69
3,Washington,6.24,4.33,6.00,6.13,6.35,6.23
4,Cleveland,6.31,8.00,8.00,6.27,6.35,6.18
5,Colorado,6.35,6.00,8.00,6.75,5.96,6.35
6,Chi Sox,6.40,5.67,5.00,6.04,6.73,6.26
7,Baltimore,6.42,8.00,11.00,6.22,6.60,6.85
8,SF Giants,6.52,8.33,10.00,7.15,5.83,6.64
9,Cincinnati,6.57,5.00,5.00,5.84,7.27,6.10
10,Tampa Bay,6.65,6.67,8.00,6.52,6.89,6.78
11,Detroit,6.70,5.00,8.00,6.95,6.50,6.52
12,LA Dodgers,6.72,5.33,3.00,7.11,6.26,7.04
13,Sacramento,6.74,9.67,13.00,7.29,6.23,6.62
13,Milwaukee,6.74,8.67,7.00,6.48,7.00,6.85
15,San Diego,6.77,5.67,6.00,6.54,7.00,6.53
16,Minnesota,6.80,8.33,5.00,6.87,6.73,6.71
17,Houston,6.94,6.00,4.00,7.13,6.76,6.91
18,Kansas City,6.98,6.33,9.00,7.04,6.92,6.13
19,Miami,7.00,5.33,7.00,7.43,6.40,6.54
20,Arizona,7.04,6.67,7.00,7.08,7.00,6.86
21,NY Mets,7.08,7.00,8.00,6.91,7.21,6.94
22,Pittsburgh,7.14,7.33,8.00,7.28,7.00,6.86
23,Toronto,7.15,6.00,8.00,6.67,7.76,6.83
24,Chi Cubs,7.18,7.33,6.00,7.35,7.04,6.82
25,Boston,7.22,7.33,7.00,7.08,7.36,6.89
26,Seattle,7.23,7.33,9.00,5.83,8.63,6.90
27,St. Louis,7.24,6.33,5.00,7.50,7.00,7.09
28,Atlanta,7.31,7.67,3.00,7.77,6.92,6.70
29,NY Yankees,7.40,5.67,3.00,6.35,8.64,7.12
30,Philadelphia,7.51,9.67,8.00,7.00,8.04,6.90
