# Data scraped on: 2025-05-22 02:26:39
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Yankees,16.17,14.00,13.00,15.42,17.05,14.36
2,LA Dodgers,16.02,12.00,8.00,16.74,15.17,15.12
3,Chi Cubs,15.62,20.67,13.00,14.26,16.78,13.20
4,Arizona,15.20,15.67,10.00,15.38,15.00,15.00
5,Boston,14.49,10.67,7.00,14.04,14.96,14.55
6,Detroit,14.34,11.67,9.00,13.73,14.82,12.85
7,Sacramento,14.30,16.67,20.00,14.38,14.23,13.17
8,Philadelphia,14.24,25.33,22.00,14.28,14.21,14.39
9,St. Louis,13.78,13.67,5.00,14.63,13.00,13.31
10,LA Angels,13.69,22.67,32.00,12.89,14.21,12.22
11,NY Mets,13.50,9.67,15.00,14.00,13.11,14.02
12,Seattle,13.48,11.67,17.00,11.79,15.17,12.37
13,Atlanta,13.23,19.00,13.00,13.86,12.69,14.00
14,Miami,13.17,13.67,7.00,13.14,13.20,12.88
15,Cincinnati,13.10,10.67,5.00,12.68,13.50,12.76
16,Baltimore,12.98,14.33,20.00,14.57,11.52,14.88
17,Toronto,12.92,13.33,23.00,13.56,12.10,13.00
18,Washington,12.90,20.00,12.00,13.78,12.12,12.43
19,San Diego,12.89,8.33,9.00,12.33,13.48,14.30
20,SF Giants,12.86,12.33,18.00,13.27,12.42,13.33
21,Minnesota,12.80,10.67,4.00,12.52,13.04,13.93
22,Houston,12.49,16.00,16.00,12.96,12.04,14.28
23,Cleveland,12.40,14.00,16.00,10.55,13.96,13.02
24,Tampa Bay,12.31,14.33,23.00,12.35,12.22,12.18
25,Kansas City,12.27,15.33,22.00,11.73,12.84,13.36
26,Texas,12.08,13.67,19.00,10.85,13.52,12.84
27,Colorado,11.98,13.00,17.00,13.92,10.12,13.48
28,Milwaukee,11.50,15.00,11.00,10.80,12.20,13.64
29,Chi Sox,10.74,11.00,18.00,10.54,10.92,11.30
30,Pittsburgh,10.52,8.33,11.00,10.92,10.12,12.55
