# Data scraped on: 2025-05-22 02:26:49
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Yankees,4.13,4.67,3.00,4.27,3.95,4.25
2,Seattle,3.98,4.00,5.00,3.46,4.50,3.52
3,Arizona,3.82,2.33,1.00,3.92,3.71,3.51
4,Chi Cubs,3.80,2.67,2.00,4.13,3.52,3.37
5,LA Dodgers,3.76,2.67,1.00,4.00,3.48,3.80
6,Philadelphia,3.76,3.00,5.00,3.64,3.88,3.20
7,NY Mets,3.64,3.33,4.00,3.27,3.93,3.26
8,SF Giants,3.54,4.00,6.00,3.54,3.54,3.04
9,Pittsburgh,3.46,3.00,4.00,3.60,3.32,2.99
10,Milwaukee,3.44,5.00,3.00,3.28,3.60,3.65
11,Cincinnati,3.43,2.00,3.00,2.88,3.96,3.06
12,Detroit,3.38,2.67,6.00,3.86,3.00,3.00
13,Atlanta,3.38,4.33,1.00,2.95,3.73,2.96
14,St. Louis,3.34,2.00,1.00,3.38,3.31,2.95
15,Boston,3.33,3.00,2.00,3.46,3.20,3.04
16,Cleveland,3.21,3.00,3.00,3.18,3.23,2.93
17,Toronto,3.17,3.00,3.00,3.07,3.29,3.15
18,Houston,3.14,1.33,2.00,3.54,2.76,2.78
19,San Diego,3.09,1.00,0.00,3.58,2.57,2.79
20,Tampa Bay,3.06,3.67,6.00,3.39,2.50,3.04
21,Miami,3.02,2.67,4.00,3.21,2.75,2.49
22,Chi Sox,3.02,1.67,2.00,3.13,2.92,2.44
23,Sacramento,2.98,3.67,6.00,3.04,2.92,3.04
24,Washington,2.98,2.33,4.00,2.78,3.15,2.81
25,Minnesota,2.88,3.67,3.00,3.17,2.62,2.92
26,Colorado,2.86,2.00,3.00,3.13,2.60,2.80
27,Baltimore,2.79,2.67,2.00,2.70,2.88,3.01
28,Texas,2.54,2.00,2.00,2.70,2.35,3.02
29,LA Angels,2.52,2.00,3.00,2.32,2.66,2.98
30,Kansas City,2.43,1.00,0.00,2.23,2.64,2.63
