# Data scraped on: 2025-05-22 02:26:54
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Yankees,19.67,18.40,14.50,16.90,23.68,22.84
2,LA Dodgers,21.01,24.00,29.00,19.34,23.32,23.28
3,LA Angels,21.85,13.75,9.50,22.63,21.39,32.47
4,Arizona,24.19,17.83,33.00,25.09,23.33,26.17
5,Seattle,24.58,24.75,11.67,25.27,24.00,28.81
6,Chi Cubs,25.30,29.25,33.00,32.33,21.56,32.01
7,Sacramento,27.24,21.60,13.00,30.48,24.81,27.71
8,Detroit,27.45,48.50,--,28.84,26.51,34.36
9,Boston,28.42,45.00,--,32.30,25.43,28.75
10,Baltimore,28.54,37.67,46.00,21.25,41.65,23.87
11,Cleveland,29.38,52.00,35.00,35.95,25.71,29.15
12,Texas,29.98,26.00,12.00,35.04,25.93,31.09
13,NY Mets,31.19,95.00,35.00,25.25,37.84,27.02
14,SF Giants,31.26,32.67,11.67,35.79,27.52,30.85
15,Philadelphia,31.77,17.57,12.67,30.63,32.96,28.17
16,Washington,31.80,16.83,28.00,28.88,34.84,39.81
17,Atlanta,31.92,21.60,32.00,32.35,31.57,25.80
18,Cincinnati,32.21,--,--,28.71,36.12,30.60
19,Houston,36.04,17.00,10.67,36.90,35.29,29.43
20,Minnesota,36.27,97.00,--,43.71,31.75,30.00
21,Miami,36.29,32.67,--,44.95,28.71,36.81
22,St. Louis,36.38,51.50,--,34.96,37.75,33.38
23,Toronto,36.61,24.75,20.00,28.45,56.08,34.68
24,Tampa Bay,37.23,19.40,8.50,33.50,45.21,36.66
25,Colorado,37.70,51.50,36.00,32.20,45.33,30.47
26,San Diego,38.05,96.00,--,36.00,40.20,28.62
27,Milwaukee,40.17,25.75,39.00,41.74,38.82,30.61
28,Chi Sox,40.48,32.33,11.67,34.45,47.83,40.47
29,Pittsburgh,49.73,--,--,58.21,43.47,34.23
30,Kansas City,53.28,52.00,40.00,94.22,37.26,32.67
