# Data scraped on: 2025-05-22 02:26:59
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Yankees,9.5%,9.3%,9.4%,9.9%,9.0%,7.9%
2,Arizona,9.3%,7.8%,2.9%,10.2%,8.3%,8.3%
3,LA Dodgers,9.1%,9.3%,3.3%,9.4%,8.8%,8.6%
4,Chi Cubs,8.9%,10.3%,8.6%,8.3%,9.4%,7.4%
5,LA Angels,8.5%,15.1%,21.4%,8.2%,8.6%,6.8%
6,Boston,8.3%,7.8%,2.9%,8.6%,7.9%,8.6%
7,NY Mets,8.0%,4.6%,7.5%,8.3%,7.8%,7.9%
8,Sacramento,7.9%,8.2%,6.7%,8.0%,7.8%,7.5%
9,Cincinnati,7.6%,9.6%,3.0%,7.5%,7.7%,7.7%
10,Detroit,7.6%,8.2%,5.0%,7.3%,7.8%,7.5%
11,St. Louis,7.5%,7.1%,0.0%,8.2%,7.0%,7.3%
12,SF Giants,7.4%,7.2%,9.8%,7.5%,7.4%,7.8%
13,Colorado,7.4%,9.0%,10.0%,9.0%,5.8%,8.0%
14,Minnesota,7.4%,7.0%,3.0%,7.1%,7.6%,8.4%
15,Baltimore,7.3%,6.5%,8.0%,9.0%,5.8%,8.5%
16,Philadelphia,7.3%,11.1%,9.1%,8.0%,6.5%,8.2%
17,Miami,7.2%,9.4%,2.9%,7.7%,6.5%,6.9%
18,Washington,7.2%,12.9%,5.7%,8.1%,6.4%,7.0%
19,Toronto,7.1%,7.1%,10.9%,8.4%,5.5%,7.6%
20,Seattle,7.0%,7.0%,9.5%,7.0%,7.1%,7.0%
21,Kansas City,7.0%,8.0%,9.1%,7.1%,6.9%,7.7%
22,Atlanta,6.9%,8.9%,12.1%,7.0%,6.9%,8.2%
23,Cleveland,6.9%,8.6%,7.5%,5.9%,7.7%,7.5%
24,Texas,6.7%,6.3%,7.7%,5.6%,8.0%,6.8%
25,San Diego,6.7%,5.1%,9.1%,6.5%,6.8%,7.7%
26,Houston,6.6%,8.3%,8.6%,6.7%,6.4%,7.6%
27,Tampa Bay,6.3%,9.1%,12.5%,6.5%,6.1%,6.9%
28,Milwaukee,6.0%,9.2%,4.8%,6.0%,5.9%,7.5%
29,Chi Sox,5.9%,6.9%,10.8%,5.7%,6.1%,6.3%
30,Pittsburgh,5.1%,4.9%,5.7%,5.8%,4.5%,6.8%
