# Data scraped on: 2025-05-22 02:27:04
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Yankees,41.9%,47.6%,60.0%,46.3%,37.7%,36.8%
2,Arizona,41.8%,36.0%,14.3%,44.9%,38.3%,35.7%
3,LA Angels,41.5%,54.5%,64.3%,41.4%,41.5%,33.2%
4,LA Dodgers,38.8%,55.6%,20.0%,38.3%,39.4%,38.3%
5,Chi Cubs,38.5%,31.7%,37.5%,37.6%,39.1%,34.3%
6,Colorado,37.5%,40.0%,36.4%,41.3%,32.7%,36.5%
7,NY Mets,37.1%,22.7%,30.0%,36.5%,37.6%,36.2%
8,Boston,36.7%,42.1%,16.7%,38.3%,35.1%,38.1%
9,SF Giants,35.5%,36.4%,50.0%,32.9%,39.0%,36.3%
10,Cincinnati,35.4%,47.6%,25.0%,34.9%,35.9%,37.4%
11,Baltimore,34.9%,28.6%,28.6%,40.9%,28.9%,38.0%
12,Sacramento,34.3%,33.3%,27.3%,33.8%,34.9%,35.9%
13,Seattle,34.3%,42.1%,57.1%,37.3%,32.1%,35.6%
14,Minnesota,33.8%,38.1%,33.3%,31.7%,35.7%,38.1%
15,Washington,33.4%,46.9%,25.0%,35.2%,31.7%,32.2%
16,Cleveland,33.2%,35.7%,27.3%,30.4%,35.0%,35.3%
17,Detroit,32.9%,40.9%,28.6%,31.9%,33.6%,35.6%
18,Miami,32.5%,43.5%,16.7%,34.2%,30.1%,30.9%
19,Texas,32.3%,28.0%,30.0%,27.1%,38.0%,31.6%
20,St. Louis,32.3%,27.6%,0.0%,32.0%,32.6%,32.5%
21,Toronto,31.8%,33.3%,35.7%,37.6%,24.7%,35.4%
22,Atlanta,31.4%,30.6%,57.1%,29.4%,33.3%,37.5%
23,Kansas City,31.3%,27.3%,25.0%,31.1%,31.4%,34.3%
24,Philadelphia,30.9%,32.6%,33.3%,33.5%,28.4%,35.6%
25,Chi Sox,30.3%,35.0%,50.0%,30.0%,30.5%,31.0%
26,Houston,29.9%,33.3%,42.9%,28.5%,31.4%,32.3%
27,Milwaukee,29.4%,44.0%,28.6%,31.0%,28.1%,33.9%
28,Tampa Bay,29.0%,43.5%,50.0%,29.6%,28.0%,33.4%
29,San Diego,28.9%,29.4%,60.0%,28.9%,29.0%,32.4%
30,Pittsburgh,26.5%,25.0%,22.2%,28.9%,24.0%,32.2%
