# Data scraped on: 2025-05-22 02:27:09
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Yankees,1.55,1.24,1.25,1.37,1.76,1.65
2,Chi Cubs,1.55,1.78,4.00,1.45,1.64,1.79
3,LA Dodgers,1.60,1.50,1.67,1.54,1.68,1.65
4,Detroit,1.65,1.57,1.40,1.62,1.68,1.88
5,Seattle,1.68,1.73,1.17,1.58,1.77,1.77
6,Arizona,1.68,1.92,7.00,1.70,1.66,1.64
7,SF Giants,1.70,2.75,2.00,1.96,1.46,1.88
8,LA Angels,1.77,1.57,1.40,1.75,1.78,1.93
9,Milwaukee,1.78,1.79,1.75,1.85,1.72,1.76
10,Cincinnati,1.81,2.63,4.00,1.85,1.77,1.76
11,Washington,1.85,1.28,1.60,1.91,1.79,1.98
12,Boston,1.85,3.17,6.00,1.76,1.95,1.87
13,Philadelphia,1.85,1.84,1.33,1.74,1.98,1.82
14,NY Mets,1.87,3.67,2.00,1.97,1.79,1.76
15,St. Louis,1.87,1.81,5.00,1.97,1.77,2.03
16,Cleveland,1.90,2.55,2.20,1.95,1.87,1.80
17,Minnesota,1.97,2.33,3.00,1.78,2.18,1.82
18,San Diego,2.02,17.00,--,1.92,2.11,1.91
19,Atlanta,2.03,1.89,2.33,2.07,1.98,1.90
20,Baltimore,2.04,2.00,1.75,1.90,2.20,1.78
21,Houston,2.04,2.70,1.75,1.93,2.17,1.97
22,Miami,2.05,2.30,6.00,2.02,2.09,2.11
23,Sacramento,2.05,2.31,2.20,2.12,1.98,1.97
24,Toronto,2.06,1.26,1.00,1.84,2.39,1.95
25,Tampa Bay,2.06,1.64,1.25,2.04,2.08,2.05
26,Chi Sox,2.13,2.86,1.60,1.80,2.53,2.34
27,Colorado,2.16,2.08,2.20,1.90,2.61,1.93
28,Texas,2.17,3.13,3.33,1.98,2.42,1.91
29,Kansas City,2.44,2.54,2.00,2.52,2.35,1.85
30,Pittsburgh,2.45,4.00,3.00,2.34,2.59,1.93
