# Data scraped on: 2025-05-22 02:27:21
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Mets,86.4%,83.3%,100.0%,90.9%,81.8%,83.6%
2,Chi Cubs,86.3%,100.0%,100.0%,89.4%,80.8%,82.7%
3,Chi Sox,85.1%,100.0%,100.0%,91.7%,78.3%,73.2%
4,Tampa Bay,83.8%,90.9%,80.0%,79.6%,90.3%,77.1%
5,Detroit,83.3%,0.0%,--,90.0%,78.6%,76.2%
6,Philadelphia,82.7%,66.7%,100.0%,85.2%,80.0%,83.0%
7,Milwaukee,82.3%,100.0%,100.0%,90.2%,73.7%,83.8%
8,Pittsburgh,81.0%,66.7%,0.0%,74.1%,86.1%,84.8%
9,Arizona,80.0%,100.0%,--,80.8%,79.3%,79.9%
9,San Diego,80.0%,--,--,82.1%,76.5%,81.1%
11,Boston,79.4%,50.0%,--,77.1%,82.1%,76.6%
12,LA Dodgers,79.1%,100.0%,--,95.8%,57.9%,85.2%
13,Sacramento,78.8%,83.3%,100.0%,76.5%,81.3%,79.0%
14,Texas,78.2%,71.4%,66.7%,87.5%,65.2%,79.5%
15,Toronto,77.5%,100.0%,100.0%,73.9%,82.4%,81.8%
16,LA Angels,76.7%,100.0%,100.0%,77.8%,76.2%,72.7%
17,Cincinnati,76.5%,0.0%,0.0%,75.9%,76.9%,82.1%
18,Seattle,75.8%,50.0%,100.0%,80.8%,72.2%,83.3%
19,Atlanta,75.6%,100.0%,--,70.6%,79.2%,77.8%
20,NY Yankees,75.6%,50.0%,--,73.7%,76.9%,78.6%
21,Washington,74.2%,40.0%,0.0%,72.4%,75.7%,75.3%
22,St. Louis,73.8%,0.0%,--,72.0%,76.5%,75.8%
23,Cleveland,73.5%,50.0%,--,76.9%,69.6%,77.2%
24,Minnesota,73.0%,66.7%,0.0%,81.0%,62.5%,73.9%
25,Miami,72.4%,60.0%,--,74.4%,68.4%,74.4%
26,Baltimore,72.2%,66.7%,--,64.7%,78.9%,79.7%
27,Colorado,70.6%,100.0%,100.0%,84.2%,53.3%,73.3%
28,Kansas City,69.5%,25.0%,100.0%,74.3%,62.5%,80.3%
29,SF Giants,69.4%,--,--,58.8%,78.9%,75.6%
30,Houston,66.7%,40.0%,--,76.9%,60.9%,79.8%
