# Data scraped on: 2025-05-22 02:27:25
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,San Diego,18.7%,23.2%,30.3%,17.9%,19.5%,17.7%
2,Kansas City,18.9%,19.5%,11.4%,17.6%,20.2%,19.5%
3,Arizona,19.6%,25.0%,31.4%,16.3%,23.1%,20.2%
4,Sacramento,19.8%,16.4%,17.8%,18.7%,20.7%,24.9%
5,Toronto,19.8%,21.4%,15.2%,19.5%,20.0%,20.4%
6,St. Louis,19.8%,19.5%,27.3%,18.1%,21.3%,21.6%
7,Philadelphia,20.0%,11.1%,6.8%,19.1%,20.9%,22.3%
8,NY Mets,20.2%,19.4%,17.5%,20.2%,20.2%,22.5%
9,Chi Cubs,20.2%,19.0%,22.9%,19.4%,20.9%,22.3%
10,Houston,21.1%,25.7%,34.3%,21.3%,20.9%,19.3%
11,LA Dodgers,21.2%,16.8%,30.0%,18.5%,24.5%,21.2%
12,Cleveland,21.3%,19.0%,15.0%,23.7%,19.5%,20.3%
13,Washington,21.6%,21.6%,11.4%,22.0%,21.2%,20.4%
14,Milwaukee,21.9%,17.6%,19.0%,23.0%,20.8%,23.6%
15,Atlanta,22.0%,15.4%,12.1%,22.0%,22.1%,24.2%
16,Minnesota,22.1%,21.1%,21.2%,23.0%,21.3%,21.3%
17,Miami,22.3%,16.0%,8.6%,21.7%,23.2%,23.3%
18,Texas,22.4%,31.3%,28.2%,21.1%,23.8%,21.2%
19,Detroit,22.7%,21.8%,17.5%,22.2%,23.2%,24.6%
20,Seattle,22.8%,16.7%,19.0%,25.5%,20.4%,26.8%
21,NY Yankees,22.8%,21.5%,31.3%,20.9%,24.8%,21.3%
22,SF Giants,22.8%,19.8%,17.1%,19.2%,26.7%,24.0%
23,Tampa Bay,22.9%,20.0%,20.0%,22.0%,24.3%,24.7%
24,Pittsburgh,23.5%,18.6%,20.0%,22.6%,24.3%,24.7%
25,Chi Sox,23.6%,25.5%,27.0%,23.2%,23.8%,23.9%
26,Boston,23.6%,27.2%,45.7%,21.8%,25.4%,25.4%
27,Cincinnati,23.9%,22.1%,24.2%,22.9%,24.7%,24.4%
28,Baltimore,24.3%,26.0%,20.0%,24.3%,24.3%,22.1%
29,Colorado,26.8%,24.3%,17.5%,25.0%,28.6%,26.9%
30,LA Angels,26.9%,25.2%,19.0%,28.3%,26.0%,23.7%
