# Data scraped on: 2025-05-22 02:27:30
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Yankees,10.6%,13.1%,9.4%,11.6%,9.5%,11.0%
2,Seattle,10.3%,10.5%,11.9%,9.6%,10.8%,9.4%
3,Arizona,9.9%,6.0%,2.9%,10.3%,9.4%,9.1%
4,LA Dodgers,9.8%,7.5%,3.3%,10.4%,9.0%,9.8%
5,Philadelphia,9.7%,6.7%,11.4%,9.7%,9.6%,8.4%
6,NY Mets,9.7%,9.3%,10.0%,9.1%,10.1%,8.5%
7,Chi Cubs,9.6%,6.3%,5.7%,10.6%,8.8%,8.9%
8,SF Giants,9.5%,10.8%,14.6%,9.5%,9.4%,8.1%
9,Pittsburgh,9.4%,8.8%,11.4%,9.7%,9.0%,8.0%
10,Milwaukee,9.2%,12.6%,7.1%,9.2%,9.3%,9.6%
11,Cincinnati,9.1%,5.8%,9.1%,8.1%,10.1%,8.3%
12,Atlanta,8.9%,10.6%,3.0%,7.9%,9.8%,7.9%
13,Detroit,8.8%,7.3%,15.0%,10.4%,7.7%,8.1%
14,Cleveland,8.8%,7.8%,7.5%,9.1%,8.5%,7.9%
15,St. Louis,8.7%,5.3%,3.0%,9.0%,8.5%,7.8%
16,Boston,8.6%,8.7%,5.7%,9.1%,8.1%,8.0%
17,Houston,8.5%,3.7%,5.7%,9.6%,7.4%,7.3%
18,Toronto,8.4%,8.0%,6.5%,8.4%,8.5%,8.4%
19,Chi Sox,8.4%,4.9%,5.4%,8.9%,8.0%,6.7%
20,San Diego,8.3%,3.0%,0.0%,10.0%,6.7%,7.4%
21,Tampa Bay,8.3%,10.0%,15.0%,9.3%,6.6%,8.2%
22,Washington,8.1%,6.0%,11.4%,7.7%,8.4%,7.6%
23,Miami,8.0%,7.5%,11.4%,8.5%,7.3%,6.7%
24,Sacramento,7.9%,9.0%,13.3%,8.0%,7.8%,8.2%
25,Colorado,7.8%,5.4%,7.5%,8.3%,7.3%,7.5%
26,Minnesota,7.8%,9.6%,9.1%,8.7%,7.0%,7.7%
27,Baltimore,7.6%,6.5%,4.0%,7.4%,7.8%,7.9%
28,Texas,7.1%,5.4%,5.1%,7.8%,6.4%,8.1%
29,LA Angels,6.9%,5.0%,7.1%,6.6%,7.1%,8.1%
30,Kansas City,6.6%,2.7%,0.0%,6.2%,7.0%,7.1%
