# Data scraped on: 2025-05-22 02:27:41
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,St. Louis,0.34,0.33,0.00,0.33,0.35,0.46
2,Texas,0.36,0.00,0.00,0.19,0.57,0.45
2,LA Dodgers,0.36,0.00,0.00,0.41,0.30,0.52
4,Kansas City,0.37,0.67,0.00,0.23,0.52,0.52
5,Philadelphia,0.39,0.67,0.00,0.44,0.33,0.52
6,Seattle,0.40,0.33,1.00,0.50,0.29,0.49
7,Detroit,0.42,0.33,0.00,0.50,0.36,0.49
8,Tampa Bay,0.43,0.00,0.00,0.39,0.50,0.56
9,Atlanta,0.44,0.67,1.00,0.50,0.38,0.41
10,Toronto,0.46,0.33,1.00,0.30,0.67,0.57
11,NY Mets,0.46,0.33,0.00,0.41,0.50,0.58
12,Washington,0.47,1.00,0.00,0.35,0.58,0.67
12,Houston,0.47,1.33,3.00,0.29,0.64,0.52
14,NY Yankees,0.48,0.33,0.00,0.58,0.36,0.58
15,Chi Cubs,0.48,0.00,0.00,0.57,0.41,0.47
16,Arizona,0.50,0.00,0.00,0.65,0.33,0.38
16,Miami,0.50,0.33,1.00,0.54,0.45,0.72
18,Cincinnati,0.51,0.67,1.00,0.48,0.54,0.59
19,SF Giants,0.52,1.33,2.00,0.54,0.50,0.54
20,Minnesota,0.53,0.00,0.00,0.43,0.62,0.43
21,Baltimore,0.54,0.67,0.00,0.61,0.48,0.49
22,Pittsburgh,0.58,0.33,0.00,0.64,0.52,0.56
23,San Diego,0.60,1.67,4.00,0.42,0.78,0.46
24,Milwaukee,0.62,0.67,1.00,0.60,0.64,0.55
25,Sacramento,0.64,0.00,0.00,0.71,0.58,0.52
26,Cleveland,0.67,0.33,0.00,0.45,0.85,0.54
27,LA Angels,0.73,1.33,2.00,0.53,0.86,0.60
28,Chi Sox,0.76,1.33,2.00,0.88,0.65,0.56
29,Boston,0.78,0.33,0.00,0.85,0.72,0.71
30,Colorado,0.86,1.67,3.00,1.29,0.44,0.51
