# Data scraped on: 2025-05-22 02:27:51
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Mets,2.82,2.00,1.00,2.45,3.11,3.98
2,Kansas City,3.02,2.33,4.00,2.96,3.08,3.64
3,Minnesota,3.18,5.00,5.00,2.87,3.46,4.21
4,Texas,3.20,4.33,4.00,2.78,3.70,4.26
5,Detroit,3.28,5.00,1.00,2.68,3.75,3.57
6,SF Giants,3.32,3.00,5.00,2.96,3.71,4.03
7,Houston,3.39,4.67,8.00,3.17,3.60,3.70
8,Cincinnati,3.43,1.67,3.00,3.28,3.58,4.01
9,San Diego,3.45,5.33,8.00,2.38,4.57,3.79
10,NY Yankees,3.48,2.33,3.00,3.31,3.68,3.71
11,St. Louis,3.68,4.00,5.00,3.21,4.12,4.00
12,Atlanta,3.71,5.33,5.00,3.14,4.19,3.46
13,Seattle,3.77,2.00,4.00,3.71,3.83,3.43
14,Philadelphia,3.78,4.00,5.00,4.00,3.54,3.85
15,Tampa Bay,3.86,3.33,4.00,3.84,3.89,3.73
16,Chi Cubs,3.88,3.33,1.00,4.04,3.74,3.72
17,Pittsburgh,3.92,2.33,1.00,4.12,3.72,4.10
18,Boston,4.00,2.00,5.00,3.85,4.16,4.02
18,Chi Sox,4.00,3.67,6.00,3.71,4.27,4.56
20,Milwaukee,4.02,4.00,6.00,3.56,4.48,3.63
21,Cleveland,4.02,3.33,1.00,3.55,4.42,3.56
22,LA Dodgers,4.10,4.00,1.00,4.30,3.87,3.92
23,Toronto,4.15,1.00,0.00,4.41,3.81,4.20
24,Arizona,4.66,3.67,3.00,4.58,4.75,4.58
25,LA Angels,4.88,4.00,4.00,4.95,4.83,4.48
26,Washington,5.08,4.33,3.00,5.52,4.69,4.23
27,Sacramento,5.18,7.00,10.00,6.04,4.38,4.31
28,Baltimore,5.33,4.33,3.00,6.35,4.40,3.87
29,Miami,5.40,7.33,1.00,5.04,5.90,4.66
30,Colorado,5.76,7.67,8.00,6.54,5.00,5.35
