# Data scraped on: 2025-05-22 02:28:06
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Seattle,27.35,26.00,27.00,27.63,27.08,26.54
2,Boston,26.92,27.00,27.00,27.58,26.24,26.90
3,Philadelphia,26.92,27.00,27.00,27.24,26.58,26.69
4,Chi Cubs,26.86,26.67,27.00,27.78,26.07,26.52
4,Arizona,26.86,26.67,24.00,27.46,26.21,26.73
6,Tampa Bay,26.86,27.00,27.00,27.19,26.28,26.68
7,Toronto,26.85,27.00,27.00,27.44,26.10,26.43
8,Kansas City,26.73,26.00,27.00,27.69,25.72,26.45
9,Sacramento,26.72,27.00,27.00,27.38,26.12,26.60
10,Miami,26.67,27.00,27.00,27.64,25.30,26.62
11,Detroit,26.64,26.00,27.00,27.41,26.04,26.77
11,Pittsburgh,26.64,27.00,27.00,28.08,25.20,26.64
11,LA Dodgers,26.64,28.00,27.00,27.33,25.83,26.76
14,St. Louis,26.62,27.00,27.00,27.38,25.92,26.74
15,Cincinnati,26.59,25.00,24.00,27.24,25.96,26.44
16,NY Yankees,26.56,27.00,27.00,26.73,26.36,26.93
17,SF Giants,26.52,27.00,27.00,27.46,25.50,26.55
18,Atlanta,26.48,25.00,24.00,27.68,25.46,26.70
19,San Diego,26.40,25.00,24.00,27.13,25.65,26.63
20,NY Mets,26.40,25.00,27.00,27.14,25.82,26.67
21,Milwaukee,26.38,29.00,33.00,27.48,25.28,26.78
22,Cleveland,26.35,25.67,27.00,27.14,25.69,26.61
23,Houston,26.29,25.67,24.00,27.00,25.60,26.69
24,LA Angels,26.25,27.00,27.00,27.00,25.76,26.50
25,Minnesota,26.22,26.00,27.00,27.13,25.42,26.67
26,Washington,26.20,27.00,27.00,27.13,25.38,26.56
27,Texas,26.18,25.33,25.00,27.00,25.22,26.44
28,Baltimore,26.13,27.00,33.00,27.13,25.20,26.71
29,Colorado,25.96,27.00,27.00,27.38,24.60,26.42
30,Chi Sox,25.76,27.00,27.00,26.75,24.85,26.30
