# Data scraped on: 2025-05-22 02:28:10
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,San Diego,9,0,0,6,3,17
2,Cleveland,6,0,0,5,1,13
2,Kansas City,6,0,0,4,2,12
2,St. Louis,6,0,0,3,3,9
5,NY Mets,5,0,0,3,2,9
5,Milwaukee,5,0,0,4,1,14
5,Chi Cubs,5,0,0,2,3,11
5,Pittsburgh,5,1,0,2,3,12
5,Texas,5,0,0,2,3,12
5,Minnesota,5,0,0,1,4,8
11,Boston,4,1,0,2,2,13
11,Chi Sox,4,1,0,3,1,7
11,Detroit,4,0,0,3,1,12
11,Arizona,4,0,0,4,0,10
11,Houston,4,0,0,3,1,11
16,Sacramento,3,0,0,0,3,12
16,Cincinnati,3,0,0,1,2,8
16,Philadelphia,3,0,0,1,2,14
16,NY Yankees,3,0,0,1,2,14
16,LA Dodgers,3,0,0,1,2,17
16,Tampa Bay,3,0,0,1,2,12
22,Miami,2,0,0,0,2,7
22,Toronto,2,2,1,2,0,9
22,LA Angels,2,0,0,1,1,7
22,SF Giants,2,0,0,2,0,12
22,Washington,2,0,0,1,1,6
22,Atlanta,2,0,0,2,0,17
28,Baltimore,1,0,0,1,0,9
28,Seattle,1,0,0,1,0,15
30,Colorado,0,0,0,0,0,1
