# Data scraped on: 2025-05-22 02:28:15
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Philadelphia,9.76,9.00,7.00,9.87,9.65,9.00
2,NY Yankees,9.59,12.00,11.00,9.28,9.96,8.95
3,LA Dodgers,9.36,9.32,11.00,9.80,8.82,8.58
4,Houston,9.33,7.71,9.00,9.92,8.73,9.32
5,Toronto,9.26,8.00,10.00,9.29,9.21,8.29
6,NY Mets,9.16,10.08,16.00,9.81,8.63,9.05
7,Minnesota,9.14,7.27,6.00,10.04,8.29,9.37
8,San Diego,8.96,9.36,7.88,10.41,7.37,9.08
9,Detroit,8.80,7.62,9.00,9.31,8.37,8.42
10,Arizona,8.73,6.08,10.13,8.02,9.53,8.19
11,Cleveland,8.69,8.42,7.00,9.27,8.16,9.00
12,SF Giants,8.65,7.33,5.00,7.98,9.44,9.01
13,Atlanta,8.58,5.40,4.50,9.04,8.16,9.65
14,Washington,8.33,7.00,4.00,7.88,8.75,8.25
15,Cincinnati,8.32,6.84,7.88,8.21,8.44,8.63
16,Boston,8.28,7.00,7.00,7.79,8.81,8.38
17,Milwaukee,8.23,9.93,8.18,8.84,7.56,8.54
18,Sacramento,8.21,10.00,8.00,8.59,7.83,7.91
19,Seattle,8.18,9.00,10.00,8.23,8.14,8.89
20,Kansas City,8.08,7.62,7.00,7.88,8.31,8.44
21,Texas,8.06,7.46,10.80,8.07,8.05,8.64
22,Miami,7.99,8.00,8.00,8.34,7.47,8.25
23,Chi Cubs,7.92,5.74,3.00,8.41,7.48,8.47
24,Baltimore,7.86,7.00,6.55,8.26,7.46,8.59
25,Tampa Bay,7.82,9.33,12.00,8.62,6.39,8.78
26,LA Angels,7.59,6.67,8.00,8.00,7.30,7.87
27,Chi Sox,7.44,6.33,8.00,7.32,7.57,8.66
28,Pittsburgh,7.44,7.67,8.00,6.81,8.14,8.48
29,St. Louis,7.18,8.00,7.00,7.27,7.09,8.15
30,Colorado,6.67,5.00,3.00,6.82,6.50,7.05
