# Data scraped on: 2025-05-22 02:28:20
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Minnesota,3.60,2.33,2.00,4.55,2.90,3.46
2,Philadelphia,3.46,4.50,2.33,3.61,3.30,3.20
3,Toronto,3.16,6.00,--,3.19,3.12,2.61
4,Detroit,2.99,3.67,9.00,3.25,2.79,3.28
5,Houston,2.95,2.00,1.33,3.17,2.72,2.70
6,Kansas City,2.91,1.83,1.17,3.28,2.61,2.76
7,Texas,2.85,2.10,3.33,2.91,2.79,2.59
8,Tampa Bay,2.78,7.00,6.00,3.45,1.90,3.16
9,SF Giants,2.78,7.33,--,2.74,2.82,2.73
10,Cincinnati,2.71,2.11,1.75,2.72,2.71,2.81
11,San Diego,2.71,2.60,2.33,3.86,1.85,3.18
12,LA Dodgers,2.69,4.14,11.00,3.08,2.28,2.67
13,Boston,2.61,2.10,1.75,2.07,3.51,2.93
14,Chi Cubs,2.61,2.13,0.75,3.32,2.14,2.78
15,Seattle,2.60,5.20,5.00,2.66,2.55,3.84
16,NY Yankees,2.59,5.14,5.50,2.21,3.19,2.69
17,Arizona,2.57,2.25,9.00,2.30,2.88,2.73
18,Atlanta,2.56,1.67,1.00,2.62,2.50,3.46
19,NY Mets,2.53,3.11,8.00,2.82,2.31,2.41
20,St. Louis,2.44,3.00,1.17,2.72,2.21,2.88
21,Cleveland,2.31,2.18,2.33,2.44,2.20,2.85
22,Washington,2.30,7.00,4.00,1.94,2.74,2.78
23,Pittsburgh,2.29,3.83,2.67,2.46,2.16,2.63
24,Milwaukee,2.21,4.00,5.00,3.31,1.55,2.77
25,Baltimore,2.16,1.40,2.67,2.25,2.07,2.86
26,Sacramento,2.06,5.00,2.67,2.15,1.97,2.38
27,Miami,2.02,3.00,4.00,2.17,1.79,2.37
28,Chi Sox,1.88,1.58,1.60,2.02,1.76,2.12
29,LA Angels,1.87,1.82,1.33,2.17,1.70,2.08
30,Colorado,1.84,1.67,0.60,2.05,1.64,1.99
