# Data scraped on: 2025-05-22 19:34:49
Date,H/A/N,Opponent,Opp Rank,Total,Score,Result,Diff
03/27,Home,Chi Cubs,5,8.5,6-10,Over,+7.5
03/28,Home,Chi Cubs,5,9.0,8-1,Push,0.0
03/29,Home,Chi Cubs,5,9.0,3-4,Under,-2.0
03/30,Home,Chi Cubs,5,9.0,10-6,Over,+7.0
04/01,Away,NY Yankees,2,8.5,7-5,Over,+3.5
04/02,Away,NY Yankees,2,8.0,4-3,Under,-1.0
04/03,Away,NY Yankees,2,9.5,7-9,Over,+6.5
04/04,Away,Washington,25,8.5,6-4,Over,+1.5
04/05,Away,Washington,25,9.0,3-4,Under,-2.0
04/06,Away,Washington,25,7.5,4-5,Over,+1.5
04/07,Home,Baltimore,22,8.5,1-5,Under,-2.5
04/08,Home,Baltimore,22,9.5,4-3,Under,-2.5
04/09,Home,Baltimore,22,9.0,9-0,Push,0.0
04/11,Home,Milwaukee,18,9.0,0-7,Under,-2.0
04/12,Home,Milwaukee,18,9.0,5-4,Push,0.0
04/13,Home,Milwaukee,18,8.5,5-2,Under,-1.5
04/15,Away,Miami,28,9.0,10-4,Over,+5.0
04/16,Away,Miami,28,8.5,6-2,Under,-0.5
04/17,Away,Miami,28,8.5,6-4,Over,+1.5
04/18,Away,Chi Cubs,5,11.5,11-13,Over,+12.5
04/19,Away,Chi Cubs,5,8.0,2-6,Push,0.0
04/20,Away,Chi Cubs,5,7.5,3-2,Under,-2.5
04/22,Home,Tampa Bay,17,9.0,5-1,Under,-3.0
04/23,Home,Tampa Bay,17,9.0,6-7,Over,+4.0
04/24,Home,Tampa Bay,17,8.5,4-7,Over,+2.5
04/25,Home,Atlanta,4,8.5,2-8,Over,+1.5
04/26,Home,Atlanta,4,9.0,7-8,Over,+6.0
04/27,Home,Atlanta,4,8.5,6-4,Over,+1.5
04/29,Away,NY Mets,3,8.5,3-8,Over,+2.5
04/30,Away,NY Mets,3,8.5,4-3,Under,-1.5
05/01,Away,NY Mets,3,8.0,4-2,Under,-2.0
05/02,Away,Philadelphia,6,9.0,2-3,Under,-4.0
05/03,Away,Philadelphia,6,9.5,2-7,Under,-0.5
05/04,Away,Philadelphia,6,8.5,11-9,Over,+11.5
05/05,Home,NY Mets,3,10.0,4-5,Under,-1.0
05/06,Home,NY Mets,3,9.0,5-1,Under,-3.0
05/07,Home,NY Mets,3,9.0,1-7,Under,-1.0
05/08,Home,LA Dodgers,1,9.0,5-3,Under,-1.0
05/09,Home,LA Dodgers,1,10.5,11-14,Over,+14.5
05/10,Home,LA Dodgers,1,9.5,3-0,Under,-6.5
05/11,Home,LA Dodgers,1,9.5,1-8,Under,-0.5
05/12,Away,SF Giants,15,8.0,2-1,Under,-5.0
05/13,Away,SF Giants,15,7.5,6-10,Over,+8.5
05/14,Away,SF Giants,15,8.0,8-7,Over,+7.0
05/16,Home,Colorado,30,9.0,8-0,Under,-1.0
05/17,Home,Colorado,30,10.0,12-14,Over,+16.0
05/18,Home,Colorado,30,9.0,1-0,Under,-8.0
05/19,Away,LA Dodgers,1,10.0,9-5,Over,+4.0
05/20,Away,LA Dodgers,1,9.0,3-4,Under,-2.0
05/21,Away,LA Dodgers,1,9.5,1-3,Under,-5.5
