# Data scraped on: 2025-05-22 19:35:05
Trend,Run Line Record,Cover %,MOV,Run Line +/-
1 Day Off,4-2-0,66.7%,1.3,+0.3
As Away Underdog,7-5-0,58.3%,-0.8,+0.7
As Underdog,9-8-0,52.9%,-1.5,0.0
After A Win,13-13-0,50.0%,0.0,-0.4
As Away Team,12-12-0,50.0%,0.0,0.0
With Equal Rest,21-23-0,47.7%,0.6,+0.1
Non-Division Games,17-20-0,45.9%,0.1,-0.4
Non-League Games,4-5-0,44.4%,0.8,-0.1
All Games,22-28-0,44.0%,0.1,-0.4
Regular Season Games,22-28-0,44.0%,0.1,-0.4
League Games,18-23-0,43.9%,-0.1,-0.5
No Rest,18-25-0,41.9%,0.0,-0.4
As Away Favorite,5-7-0,41.7%,0.9,-0.6
As Home Underdog,2-3-0,40.0%,-3.0,-1.5
As Favorite,13-20-0,39.4%,0.9,-0.6
After A Loss,9-14-0,39.1%,0.3,-0.2
As Home Team,10-16-0,38.5%,0.1,-0.8
Division Games,5-8-0,38.5%,0.1,-0.3
As Home Favorite,8-13-0,38.1%,0.9,-0.6
With Rest Disadvantage,1-2-0,33.3%,-2.0,-2.5
4+ Days Off,0-1-0,0.0%,-4.0,-5.5
With Rest Advantage,0-3-0,0.0%,-5.3,-5.8
