# Data scraped on: 2025-05-22 19:34:44
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
As Away Favorite,8-4-0,66.7%,0.9,-0.6
1 Day Off,4-2-0,66.7%,1.3,+0.3
After A Loss,15-8-0,65.2%,0.3,-0.2
As Favorite,19-14-0,57.6%,0.9,-0.6
With Equal Rest,25-19-0,56.8%,0.6,+0.1
Non-League Games,5-4-0,55.6%,0.8,-0.1
As Away Team,13-11-0,54.2%,0.0,0.0
Division Games,7-6-0,53.8%,0.1,-0.3
As Home Favorite,11-10-0,52.4%,0.9,-0.6
All Games,26-24-0,52.0%,0.1,-0.4
Regular Season Games,26-24-0,52.0%,0.1,-0.4
Non-Division Games,19-18-0,51.4%,0.1,-0.4
League Games,21-20-0,51.2%,-0.1,-0.5
No Rest,22-21-0,51.2%,0.0,-0.4
As Home Team,13-13-0,50.0%,0.1,-0.8
After A Win,11-15-0,42.3%,0.0,-0.4
As Away Underdog,5-7-0,41.7%,-0.8,+0.7
As Underdog,7-10-0,41.2%,-1.5,0.0
As Home Underdog,2-3-0,40.0%,-3.0,-1.5
With Rest Disadvantage,1-2-0,33.3%,-2.0,-2.5
4+ Days Off,0-1-0,0.0%,-4.0,-5.5
With Rest Advantage,0-3-0,0.0%,-5.3,-5.8
