# Data scraped on: 2025-05-22 19:35:40
Date,Opponent,Opp Rank,H/A/N,Score
03/27,at San Diego,10,Away,L 4-7
03/28,at San Diego,10,Away,L 3-4
03/29,at San Diego,10,Away,L 0-1
03/30,at San Diego,10,Away,L 0-5
03/31,at LA Dodgers,1,Away,L 1-6
04/01,at LA Dodgers,1,Away,L 1-3
04/02,at LA Dodgers,1,Away,L 5-6
04/04,Miami,28,Home,W 10-0
04/05,Miami,28,Home,L 0-4
04/08,Philadelphia,6,Home,W 7-5
04/09,Philadelphia,6,Home,L 3-4
04/10,Philadelphia,6,Home,W 4-2
04/11,at Tampa Bay,17,Away,L 3-6
04/12,at Tampa Bay,17,Away,W 5-4
04/13,at Tampa Bay,17,Away,L 3-8
04/14,at Toronto,21,Away,W 8-4
04/15,at Toronto,21,Away,L 3-6
04/16,at Toronto,21,Away,L 1-3
04/18,Minnesota,12,Home,W 6-4
04/19,Minnesota,12,Home,W 4-3
04/20,Minnesota,12,Home,W 6-2
04/21,St. Louis,19,Home,W 7-6
04/22,St. Louis,19,Home,L 4-10
04/23,St. Louis,19,Home,W 4-1
04/25,at Arizona,8,Away,W 8-2
04/26,at Arizona,8,Away,W 8-7
04/27,at Arizona,8,Away,L 4-6
04/28,at Colorado,30,Away,W 6-3
04/29,at Colorado,30,Away,W 8-2
04/30,at Colorado,30,Away,L 1-2
05/02,LA Dodgers,1,Home,L 1-2
05/03,LA Dodgers,1,Home,L 3-10
05/04,LA Dodgers,1,Home,W 4-3
05/05,Cincinnati,16,Home,W 4-0
05/06,Cincinnati,16,Home,W 2-1
05/07,Cincinnati,16,Home,L 3-4
05/08,Cincinnati,16,Home,W 5-4
05/09,at Pittsburgh,24,Away,L 2-3
05/10,at Pittsburgh,24,Away,W 3-2
05/11,at Pittsburgh,24,Away,L 3-4
05/12,Washington,25,Home,W 4-3
05/13,Washington,25,Home,W 5-2
05/14,Washington,25,Home,L 4-5
05/15,Washington,25,Home,W 5-2
05/16,at Boston,9,Away,W 4-2
05/17,at Boston,9,Away,L 6-7
05/18,at Boston,9,Away,W 10-4
05/20,at Washington,25,Away,L 3-5
