# Data scraped on: 2025-05-22 19:35:11
Trend,Over Record,Over %,Under %,Total +/-
2-3 Days Off,1-0-0,100.0%,0.0%,+5.0
4+ Days Off,1-0-0,100.0%,0.0%,+4.0
With Rest Advantage,2-0-0,100.0%,0.0%,+3.3
Non-League Games,7-3-2,70.0%,30.0%,+1.0
1 Day Off,3-2-0,60.0%,40.0%,-0.1
As Away Underdog,4-4-2,50.0%,50.0%,+0.3
As Away Team,11-13-2,45.8%,54.2%,-0.3
Non-Division Games,16-19-3,45.7%,54.3%,-0.3
As Away Favorite,7-9-0,43.8%,56.3%,-0.6
As Favorite,14-20-2,41.2%,58.8%,-0.3
With Equal Rest,16-23-4,41.0%,59.0%,-0.4
All Games,18-26-4,40.9%,59.1%,-0.4
After A Loss,9-13-1,40.9%,59.1%,-0.6
Regular Season Games,18-26-4,40.9%,59.1%,-0.4
As Underdog,4-6-2,40.0%,60.0%,-0.5
As Home Favorite,7-11-2,38.9%,61.1%,-0.1
After A Win,8-13-3,38.1%,61.9%,-0.3
No Rest,13-24-4,35.1%,64.9%,-0.6
As Home Team,7-13-2,35.0%,65.0%,-0.5
League Games,11-23-2,32.4%,67.6%,-0.8
Division Games,2-7-1,22.2%,77.8%,-0.5
As Home Underdog,0-2-0,0.0%,100.0%,-4.3
With Rest Disadvantage,0-3-0,0.0%,100.0%,-2.3
