# Data scraped on: 2025-05-22 19:35:35
Date,H/A/N,Opponent,Opp Rank,ATL Line,ATL Odds,Result,Diff
03/27,Away,San Diego,10,-1.5,+154,L by 3,-4.5
03/28,Away,San Diego,10,+1.5,-179,L by 1,+0.5
03/29,Away,San Diego,10,-1.5,+110,L by 1,-2.5
03/30,Away,San Diego,10,+1.5,-184,L by 5,-3.5
03/31,Away,LA Dodgers,1,+1.5,-105,L by 5,-3.5
04/01,Away,LA Dodgers,1,+1.5,-185,L by 2,-0.5
04/02,Away,LA Dodgers,1,+1.5,+102,L by 1,+0.5
04/04,Home,Miami,28,-1.5,-109,W by 10,+8.5
04/05,Home,Miami,28,-1.5,-123,L by 4,-5.5
04/08,Home,Philadelphia,6,-1.5,+190,W by 2,+0.5
04/09,Home,Philadelphia,6,-1.5,+141,L by 1,-2.5
04/10,Home,Philadelphia,6,-1.5,+153,W by 2,+0.5
04/11,Away,Tampa Bay,17,+1.5,-170,L by 3,-1.5
04/12,Away,Tampa Bay,17,+1.5,-170,W by 1,+2.5
04/13,Away,Tampa Bay,17,-1.5,+107,L by 5,-6.5
04/14,Away,Toronto,21,-1.5,+141,W by 4,+2.5
04/15,Away,Toronto,21,-1.5,+150,L by 3,-4.5
04/16,Away,Toronto,21,-1.5,+130,L by 2,-3.5
04/18,Home,Minnesota,12,-1.5,+142,W by 2,+0.5
04/19,Home,Minnesota,12,-1.5,-102,W by 1,-0.5
04/20,Home,Minnesota,12,-1.5,+183,W by 4,+2.5
04/21,Home,St. Louis,19,-1.5,-101,W by 1,-0.5
04/22,Home,St. Louis,19,-1.5,+149,L by 6,-7.5
04/23,Home,St. Louis,19,-1.5,+132,W by 3,+1.5
04/25,Away,Arizona,8,-1.5,+134,W by 6,+4.5
04/26,Away,Arizona,8,+1.5,-187,W by 1,+2.5
04/27,Away,Arizona,8,-1.5,+139,L by 2,-3.5
04/28,Away,Colorado,30,-1.5,-115,W by 3,+1.5
04/29,Away,Colorado,30,-1.5,-124,W by 6,+4.5
04/30,Away,Colorado,30,-1.5,-173,L by 1,-2.5
05/02,Home,LA Dodgers,1,+1.5,-108,L by 1,+0.5
05/03,Home,LA Dodgers,1,-1.5,+160,L by 7,-8.5
05/04,Home,LA Dodgers,1,+1.5,-135,W by 1,+2.5
05/05,Home,Cincinnati,16,-1.5,+162,W by 4,+2.5
05/06,Home,Cincinnati,16,-1.5,-103,W by 1,-0.5
05/07,Home,Cincinnati,16,-1.5,+185,L by 1,-2.5
05/08,Home,Cincinnati,16,-1.5,+111,W by 1,-0.5
05/09,Away,Pittsburgh,24,-1.5,+115,L by 1,-2.5
05/10,Away,Pittsburgh,24,-1.5,+118,W by 1,-0.5
05/11,Away,Pittsburgh,24,-1.5,-142,L by 1,-2.5
05/12,Home,Washington,25,-1.5,+110,W by 1,-0.5
05/13,Home,Washington,25,-1.5,-105,W by 3,+1.5
05/14,Home,Washington,25,-1.5,+114,L by 1,-2.5
05/15,Home,Washington,25,-1.5,-106,W by 3,+1.5
05/16,Away,Boston,9,+1.5,-210,W by 2,+3.5
05/17,Away,Boston,9,+1.5,-187,L by 1,+0.5
05/18,Away,Boston,9,-1.5,+131,W by 6,+4.5
05/20,Away,Washington,25,-1.5,+107,L by 2,-3.5
