# Data scraped on: 2025-05-22 19:35:45
Trend,Run Line Record,Cover %,MOV,Run Line +/-
As Home Underdog,2-0-0,100.0%,0.0,+1.5
2-3 Days Off,1-0-0,100.0%,2.0,+0.5
With Rest Advantage,2-0-0,100.0%,4.0,+2.5
1 Day Off,4-1-0,80.0%,3.0,+2.1
As Underdog,8-4-0,66.7%,-1.2,+0.3
After A Loss,14-9-0,60.9%,0.7,+0.2
As Away Underdog,6-4-0,60.0%,-1.4,+0.1
Non-League Games,7-5-0,58.3%,0.5,0.0
As Home Team,11-11-0,50.0%,0.8,-0.4
Division Games,5-5-0,50.0%,1.3,-0.2
All Games,22-26-0,45.8%,0.2,-0.6
Regular Season Games,22-26-0,45.8%,0.2,-0.6
As Home Favorite,9-11-0,45.0%,0.9,-0.6
Non-Division Games,17-21-0,44.7%,-0.1,-0.7
With Equal Rest,19-24-0,44.2%,0.1,-0.7
As Away Team,11-15-0,42.3%,-0.3,-0.7
League Games,15-21-0,41.7%,0.1,-0.8
No Rest,17-24-0,41.5%,-0.1,-0.8
As Favorite,14-22-0,38.9%,0.6,-0.9
After A Win,8-16-0,33.3%,-0.1,-1.1
With Rest Disadvantage,1-2-0,33.3%,-1.3,-0.8
As Away Favorite,5-11-0,31.3%,0.3,-1.2
4+ Days Off,0-1-0,0.0%,-3.0,-4.5
