# Data scraped on: 2025-05-22 19:35:16
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
2-3 Days Off,1-0-0,100.0%,2.0,+0.5
With Rest Advantage,2-0-0,100.0%,4.0,+2.5
As Home Favorite,14-6-0,70.0%,0.9,-0.6
As Home Team,15-7-0,68.2%,0.8,-0.4
After A Loss,14-9-0,60.9%,0.7,+0.2
1 Day Off,3-2-0,60.0%,3.0,+2.1
Division Games,6-4-0,60.0%,1.3,-0.2
Non-League Games,7-5-0,58.3%,0.5,0.0
As Favorite,20-16-0,55.6%,0.6,-0.9
All Games,24-24-0,50.0%,0.2,-0.6
As Home Underdog,1-1-0,50.0%,0.0,+1.5
Regular Season Games,24-24-0,50.0%,0.2,-0.6
With Equal Rest,21-22-0,48.8%,0.1,-0.7
No Rest,20-21-0,48.8%,-0.1,-0.8
Non-Division Games,18-20-0,47.4%,-0.1,-0.7
League Games,17-19-0,47.2%,0.1,-0.8
After A Win,10-14-0,41.7%,-0.1,-1.1
As Away Favorite,6-10-0,37.5%,0.3,-1.2
As Away Team,9-17-0,34.6%,-0.3,-0.7
As Underdog,4-8-0,33.3%,-1.2,+0.3
With Rest Disadvantage,1-2-0,33.3%,-1.3,-0.8
As Away Underdog,3-7-0,30.0%,-1.4,+0.1
4+ Days Off,0-1-0,0.0%,-3.0,-4.5
