# Data scraped on: 2025-05-22 19:36:15
Date,Opponent,Opp Rank,H/A/N,Score
03/27,at Toronto,21,Away,W 12-2
03/28,at Toronto,21,Away,L 2-8
03/29,at Toronto,21,Away,W 9-5
03/30,at Toronto,21,Away,L 1-3
03/31,Boston,9,Home,W 8-5
04/02,Boston,9,Home,L 0-3
04/03,Boston,9,Home,L 4-8
04/04,at Kansas City,20,Away,L 2-8
04/05,at Kansas City,20,Away,W 8-1
04/06,at Kansas City,20,Away,L 1-4
04/07,at Arizona,8,Away,W 5-1
04/08,at Arizona,8,Away,L 3-4
04/09,at Arizona,8,Away,L 0-9
04/12,Toronto,21,Home,W 5-4
04/13,Toronto,21,Home,L 6-7
04/15,Cleveland,23,Home,L 3-6
04/16,Cleveland,23,Home,W 9-1
04/17,Cleveland,23,Home,W 6-2
04/18,Cincinnati,16,Home,L 3-8
04/19,Cincinnati,16,Home,W 9-5
04/20,Cincinnati,16,Home,L 2-24
04/22,at Washington,25,Away,L 0-7
04/23,at Washington,25,Away,L 3-4
04/24,at Washington,25,Away,W 2-1
04/26,at Detroit,7,Away,L 3-4
04/26,at Detroit,7,Away,L 2-6
04/27,at Detroit,7,Away,L 0-7
04/28,NY Yankees,2,Home,W 4-3
04/29,NY Yankees,2,Home,L 3-15
04/30,NY Yankees,2,Home,W 5-4
05/02,Kansas City,20,Home,W 3-0
05/03,Kansas City,20,Home,L 0-4
05/04,Kansas City,20,Home,L 6-11
05/06,at Minnesota,12,Away,L 1-9
05/07,at Minnesota,12,Away,L 2-5
05/08,at Minnesota,12,Away,L 2-5
05/09,at LA Angels,26,Away,W 4-1
05/10,at LA Angels,26,Away,L 2-5
05/11,at LA Angels,26,Away,W 7-3
05/14,Minnesota,12,Home,L 3-6
05/14,Minnesota,12,Home,L 6-8
05/15,Minnesota,12,Home,L 0-4
05/16,Washington,25,Home,L 3-4
05/17,Washington,25,Home,L 6-10
05/18,Washington,25,Home,L 4-10
05/19,at Milwaukee,18,Away,L 4-5
05/20,at Milwaukee,18,Away,L 2-5
05/21,at Milwaukee,18,Away,W 8-4
