# Data scraped on: 2025-05-22 19:35:50
Trend,Over Record,Over %,Under %,Total +/-
2-3 Days Off,2-0-0,100.0%,0.0%,+0.8
4+ Days Off,1-0-0,100.0%,0.0%,+5.5
As Home Favorite,13-5-2,72.2%,27.8%,+2.1
As Home Team,14-7-2,66.7%,33.3%,+1.9
Division Games,8-4-0,66.7%,33.3%,+1.7
As Favorite,14-11-2,56.0%,44.0%,+1.0
After A Loss,16-14-2,53.3%,46.7%,+0.6
League Games,16-15-2,51.6%,48.4%,+0.2
No Rest,18-17-2,51.4%,48.6%,+0.8
With Equal Rest,21-20-3,51.2%,48.8%,+0.7
All Games,23-22-3,51.1%,48.9%,+0.6
Regular Season Games,23-22-3,51.1%,48.9%,+0.6
Non-League Games,7-7-1,50.0%,50.0%,+1.3
Second Game of Doubleheader,1-1-0,50.0%,50.0%,+2.0
With Rest Advantage,1-1-0,50.0%,50.0%,-2.5
With Rest Disadvantage,1-1-0,50.0%,50.0%,+0.5
As Away Underdog,8-9-1,47.1%,52.9%,0.0
Non-Division Games,15-18-3,45.5%,54.5%,+0.2
As Underdog,9-11-1,45.0%,55.0%,0.0
After A Win,6-8-1,42.9%,57.1%,+0.2
As Away Team,9-15-1,37.5%,62.5%,-0.6
As Home Underdog,1-2-0,33.3%,66.7%,+0.5
1 Day Off,1-4-1,20.0%,80.0%,-2.2
As Away Favorite,1-6-0,14.3%,85.7%,-2.1
