# Data scraped on: 2025-05-22 19:36:06
Date,H/A/N,Opponent,Opp Rank,BAL Line,BAL Odds,Result,Diff
03/27,Away,Toronto,21,+1.5,-208,W by 10,+11.5
03/28,Away,Toronto,21,+1.5,-192,L by 6,-4.5
03/29,Away,Toronto,21,+1.5,-190,W by 4,+5.5
03/30,Away,Toronto,21,+1.5,-180,L by 2,-0.5
03/31,Home,Boston,9,-1.5,+136,W by 3,+1.5
04/02,Home,Boston,9,+1.5,-153,L by 3,-1.5
04/03,Home,Boston,9,-1.5,+160,L by 4,-5.5
04/04,Away,Kansas City,20,+1.5,-227,L by 6,-4.5
04/05,Away,Kansas City,20,+1.5,-208,W by 7,+8.5
04/06,Away,Kansas City,20,-1.5,+154,L by 3,-4.5
04/07,Away,Arizona,8,+1.5,-185,W by 4,+5.5
04/08,Away,Arizona,8,+1.5,-225,L by 1,+0.5
04/09,Away,Arizona,8,+1.5,-192,L by 9,-7.5
04/12,Home,Toronto,21,-1.5,+164,W by 1,-0.5
04/13,Home,Toronto,21,-1.5,+152,L by 1,-2.5
04/15,Home,Cleveland,23,-1.5,+136,L by 3,-4.5
04/16,Home,Cleveland,23,-1.5,+154,W by 8,+6.5
04/17,Home,Cleveland,23,-1.5,+166,W by 4,+2.5
04/18,Home,Cincinnati,16,-1.5,+129,L by 5,-6.5
04/19,Home,Cincinnati,16,-1.5,+165,W by 4,+2.5
04/20,Home,Cincinnati,16,-1.5,+109,L by 22,-23.5
04/22,Away,Washington,25,-1.5,+120,L by 7,-8.5
04/23,Away,Washington,25,-1.5,+114,L by 1,-2.5
04/24,Away,Washington,25,+1.5,-196,W by 1,+2.5
04/26,Away,Detroit,7,+1.5,-177,L by 1,+0.5
04/26,Away,Detroit,7,-1.5,+140,L by 4,-5.5
04/27,Away,Detroit,7,+1.5,-126,L by 7,-5.5
04/28,Home,NY Yankees,2,+1.5,-136,W by 1,+2.5
04/29,Home,NY Yankees,2,+1.5,-122,L by 12,-10.5
04/30,Home,NY Yankees,2,-1.5,+173,W by 1,-0.5
05/02,Home,Kansas City,20,-1.5,+147,W by 3,+1.5
05/03,Home,Kansas City,20,-1.5,+178,L by 4,-5.5
05/04,Home,Kansas City,20,-1.5,+148,L by 5,-6.5
05/06,Away,Minnesota,12,+1.5,-142,L by 8,-6.5
05/07,Away,Minnesota,12,+1.5,-165,L by 3,-1.5
05/08,Away,Minnesota,12,+1.5,-147,L by 3,-1.5
05/09,Away,LA Angels,26,-1.5,+115,W by 3,+1.5
05/10,Away,LA Angels,26,-1.5,+118,L by 3,-4.5
05/11,Away,LA Angels,26,-1.5,+114,W by 4,+2.5
05/14,Home,Minnesota,12,-1.5,+164,L by 3,-4.5
05/14,Home,Minnesota,12,-1.5,+154,L by 2,-3.5
05/15,Home,Minnesota,12,-1.5,+150,L by 4,-5.5
05/16,Home,Washington,25,-1.5,+175,L by 1,-2.5
05/17,Home,Washington,25,-1.5,+129,L by 4,-5.5
05/18,Home,Washington,25,-1.5,+111,L by 6,-7.5
05/19,Away,Milwaukee,18,+1.5,-205,L by 1,+0.5
05/20,Away,Milwaukee,18,+1.5,-188,L by 3,-1.5
05/21,Away,Milwaukee,18,+1.5,-192,W by 4,+5.5
