# Data scraped on: 2025-05-22 19:36:22
Trend,Run Line Record,Cover %,MOV,Run Line +/-
4+ Days Off,1-0-0,100.0%,10.0,+11.5
As Away Underdog,9-9-0,50.0%,-1.1,+0.4
With Rest Advantage,1-1-0,50.0%,2.0,+0.5
With Rest Disadvantage,1-1-0,50.0%,-3.5,-2.0
As Underdog,10-11-0,47.6%,-1.6,-0.1
As Away Team,11-14-0,44.0%,-1.2,-0.6
Non-League Games,6-9-0,40.0%,-3.1,-3.2
No Rest,14-23-0,37.8%,-1.8,-2.0
After A Loss,12-20-0,37.5%,-1.1,-1.3
Non-Division Games,13-23-0,36.1%,-2.1,-2.5
All Games,17-31-0,35.4%,-1.8,-2.0
Regular Season Games,17-31-0,35.4%,-1.8,-2.0
With Equal Rest,15-29-0,34.1%,-1.9,-2.1
As Home Underdog,1-2-0,33.3%,-4.7,-3.2
1 Day Off,2-4-0,33.3%,-3.2,-3.2
Division Games,4-8-0,33.3%,-0.7,-0.4
League Games,11-22-0,33.3%,-1.2,-1.4
As Away Favorite,2-5-0,28.6%,-1.6,-3.1
After A Win,4-11-0,26.7%,-3.9,-4.2
As Home Team,6-17-0,26.1%,-2.3,-3.5
As Favorite,7-20-0,25.9%,-1.9,-3.4
As Home Favorite,5-15-0,25.0%,-2.0,-3.5
2-3 Days Off,0-2-0,0.0%,-1.0,-2.5
Second Game of Doubleheader,0-2-0,0.0%,-3.0,-4.5
