# Data scraped on: 2025-05-22 19:35:54
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
4+ Days Off,1-0-0,100.0%,10.0,+11.5
With Rest Advantage,2-0-0,100.0%,2.0,+0.5
2-3 Days Off,1-1-0,50.0%,-1.0,-2.5
Division Games,6-6-0,50.0%,-0.7,-0.4
After A Loss,13-19-0,40.6%,-1.1,-1.3
League Games,12-21-0,36.4%,-1.2,-1.4
No Rest,13-24-0,35.1%,-1.8,-2.0
As Home Favorite,7-13-0,35.0%,-2.0,-3.5
As Home Team,8-15-0,34.8%,-2.3,-3.5
All Games,16-32-0,33.3%,-1.8,-2.0
As Favorite,9-18-0,33.3%,-1.9,-3.4
As Underdog,7-14-0,33.3%,-1.6,-0.1
As Home Underdog,1-2-0,33.3%,-4.7,-3.2
As Away Underdog,6-12-0,33.3%,-1.1,+0.4
Regular Season Games,16-32-0,33.3%,-1.8,-2.0
As Away Team,8-17-0,32.0%,-1.2,-0.6
With Equal Rest,14-30-0,31.8%,-1.9,-2.1
As Away Favorite,2-5-0,28.6%,-1.6,-3.1
Non-Division Games,10-26-0,27.8%,-2.1,-2.5
Non-League Games,4-11-0,26.7%,-3.1,-3.2
1 Day Off,1-5-0,16.7%,-3.2,-3.2
After A Win,2-13-0,13.3%,-3.9,-4.2
Second Game of Doubleheader,0-2-0,0.0%,-3.0,-4.5
With Rest Disadvantage,0-2-0,0.0%,-3.5,-2.0
