# Data scraped on: 2025-05-22 19:36:45
Date,H/A/N,Opponent,Opp Rank,BOS Line,BOS Odds,Result,Diff
03/27,Away,Texas,14,-1.5,+136,W by 3,+1.5
03/28,Away,Texas,14,-1.5,+140,L by 3,-4.5
03/29,Away,Texas,14,+1.5,-205,L by 1,+0.5
03/30,Away,Texas,14,+1.5,-156,L by 1,+0.5
03/31,Away,Baltimore,22,+1.5,-162,L by 3,-1.5
04/02,Away,Baltimore,22,-1.5,+138,W by 3,+1.5
04/03,Away,Baltimore,22,+1.5,-192,W by 4,+5.5
04/04,Home,St. Louis,19,-1.5,+171,W by 4,+2.5
04/06,Home,St. Louis,19,-1.5,+172,W by 1,-0.5
04/06,Home,St. Louis,19,-1.5,+159,W by 11,+9.5
04/07,Home,Toronto,21,-1.5,+160,L by 4,-5.5
04/08,Home,Toronto,21,-1.5,-105,L by 5,-6.5
04/09,Home,Toronto,21,-1.5,+165,L by 1,-2.5
04/10,Home,Toronto,21,-1.5,+164,W by 1,-0.5
04/11,Away,Chi Sox,29,-1.5,+105,L by 10,-11.5
04/12,Away,Chi Sox,29,-1.5,+105,L by 1,-2.5
04/13,Away,Chi Sox,29,-1.5,-130,W by 2,+0.5
04/14,Away,Tampa Bay,17,+1.5,-190,L by 15,-13.5
04/15,Away,Tampa Bay,17,+1.5,-178,W by 3,+4.5
04/16,Away,Tampa Bay,17,+1.5,-170,W by 1,+2.5
04/18,Home,Chi Sox,29,-1.5,-112,W by 7,+5.5
04/19,Home,Chi Sox,29,-1.5,-170,W by 1,-0.5
04/20,Home,Chi Sox,29,-1.5,-142,L by 4,-5.5
04/21,Home,Chi Sox,29,-1.5,-148,W by 2,+0.5
04/22,Home,Seattle,13,-1.5,+171,W by 5,+3.5
04/23,Home,Seattle,13,-1.5,+140,L by 3,-4.5
04/24,Home,Seattle,13,-1.5,+120,L by 1,-2.5
04/26,Away,Cleveland,23,-1.5,+156,L by 1,-2.5
04/26,Away,Cleveland,23,-1.5,+147,W by 4,+2.5
04/27,Away,Cleveland,23,+1.5,-230,W by 10,+11.5
04/29,Away,Toronto,21,-1.5,+124,W by 8,+6.5
04/30,Away,Toronto,21,-1.5,+145,L by 1,-2.5
05/01,Away,Toronto,21,+1.5,-227,L by 2,-0.5
05/02,Home,Minnesota,12,-1.5,+175,W by 5,+3.5
05/03,Home,Minnesota,12,-1.5,+160,L by 1,-2.5
05/04,Home,Minnesota,12,-1.5,-100,L by 1,-2.5
05/06,Home,Texas,14,+1.5,-162,L by 5,-3.5
05/07,Home,Texas,14,-1.5,+145,W by 2,+0.5
05/08,Home,Texas,14,-1.5,+130,W by 5,+3.5
05/09,Away,Kansas City,20,-1.5,+145,L by 1,-2.5
05/10,Away,Kansas City,20,+1.5,-228,W by 9,+10.5
05/11,Away,Kansas City,20,+1.5,-182,W by 2,+3.5
05/12,Away,Detroit,7,-1.5,+148,L by 12,-13.5
05/13,Away,Detroit,7,+1.5,-198,L by 1,+0.5
05/14,Away,Detroit,7,+1.5,-110,L by 1,+0.5
05/16,Home,Atlanta,4,-1.5,+186,L by 2,-3.5
05/17,Home,Atlanta,4,-1.5,+163,W by 1,-0.5
05/18,Home,Atlanta,4,+1.5,-145,L by 6,-4.5
05/19,Home,NY Mets,3,+1.5,-150,W by 2,+3.5
05/20,Home,NY Mets,3,+1.5,-141,W by 2,+3.5
05/21,Home,NY Mets,3,-1.5,+150,L by 4,-5.5
