# Data scraped on: 2025-05-22 19:36:56
Trend,Run Line Record,Cover %,MOV,Run Line +/-
4+ Days Off,1-0-0,100.0%,3.0,+1.5
Second Game of Doubleheader,2-0-0,100.0%,7.5,+6.0
As Away Underdog,10-3-0,76.9%,0.4,+1.9
As Underdog,12-5-0,70.6%,-0.1,+1.4
With Rest Disadvantage,2-1-0,66.7%,2.7,+1.2
As Away Team,15-10-0,60.0%,-0.2,-0.1
Non-Division Games,20-18-0,52.6%,0.5,-0.1
After A Loss,13-12-0,52.0%,0.3,0.0
As Home Underdog,2-2-0,50.0%,-1.8,-0.3
League Games,21-21-0,50.0%,0.0,-0.5
With Rest Advantage,1-1-0,50.0%,2.5,+1.0
All Games,25-26-0,49.0%,0.2,-0.3
Regular Season Games,25-26-0,49.0%,0.2,-0.3
With Equal Rest,22-24-0,47.8%,-0.1,-0.5
No Rest,19-22-0,46.3%,-0.5,-0.8
Non-League Games,4-5-0,44.4%,1.0,+0.5
After A Win,11-14-0,44.0%,-0.1,-0.8
1 Day Off,3-4-0,42.9%,1.6,+0.5
As Away Favorite,5-7-0,41.7%,-0.8,-2.3
As Home Team,10-16-0,38.5%,0.5,-0.6
Division Games,5-8-0,38.5%,-0.8,-1.0
As Favorite,13-21-0,38.2%,0.3,-1.2
As Home Favorite,8-14-0,36.4%,0.9,-0.6
