# Data scraped on: 2025-05-22 19:36:31
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
4+ Days Off,1-0-0,100.0%,3.0,+1.5
Second Game of Doubleheader,2-0-0,100.0%,7.5,+6.0
Non-League Games,6-3-0,66.7%,1.0,+0.5
With Rest Disadvantage,2-1-0,66.7%,2.7,+1.2
1 Day Off,4-3-0,57.1%,1.6,+0.5
As Home Favorite,12-10-0,54.5%,0.9,-0.6
As Home Team,14-12-0,53.8%,0.5,-0.6
After A Win,13-12-0,52.0%,-0.1,-0.8
As Favorite,17-17-0,50.0%,0.3,-1.2
As Home Underdog,2-2-0,50.0%,-1.8,-0.3
Non-Division Games,19-19-0,50.0%,0.5,-0.1
With Rest Advantage,1-1-0,50.0%,2.5,+1.0
All Games,25-26-0,49.0%,0.2,-0.3
Regular Season Games,25-26-0,49.0%,0.2,-0.3
With Equal Rest,22-24-0,47.8%,-0.1,-0.5
As Underdog,8-9-0,47.1%,-0.1,+1.4
As Away Underdog,6-7-0,46.2%,0.4,+1.9
Division Games,6-7-0,46.2%,-0.8,-1.0
League Games,19-23-0,45.2%,0.0,-0.5
After A Loss,11-14-0,44.0%,0.3,0.0
As Away Team,11-14-0,44.0%,-0.2,-0.1
No Rest,18-23-0,43.9%,-0.5,-0.8
As Away Favorite,5-7-0,41.7%,-0.8,-2.3
