# Data scraped on: 2025-05-22 19:37:13
Date,H/A/N,Opponent,Opp Rank,Total,Score,Result,Diff
03/18,Neutral,LA Dodgers,1,8.0,1-4,Under,-3.0
03/19,Neutral,LA Dodgers,1,8.0,3-6,Over,+1.0
03/27,Away,Arizona,8,8.5,10-6,Over,+7.5
03/28,Away,Arizona,8,9.0,1-8,Push,0.0
03/29,Away,Arizona,8,9.0,4-3,Under,-2.0
03/30,Away,Arizona,8,9.0,6-10,Over,+7.0
03/31,Away,Sacramento,27,8.5,18-3,Over,+12.5
04/01,Away,Sacramento,27,8.0,7-4,Over,+3.0
04/02,Away,Sacramento,27,8.5,10-2,Over,+3.5
04/04,Home,San Diego,10,7.0,3-1,Under,-3.0
04/05,Home,San Diego,10,6.5,7-1,Over,+1.5
04/06,Home,San Diego,10,7.5,7-8,Over,+7.5
04/07,Home,Texas,14,6.0,7-0,Over,+1.0
04/08,Home,Texas,14,8.0,10-6,Over,+8.0
04/09,Home,Texas,14,7.5,2-6,Over,+0.5
04/11,Away,LA Dodgers,1,8.5,0-3,Under,-5.5
04/12,Away,LA Dodgers,1,9.0,16-0,Over,+7.0
04/13,Away,LA Dodgers,1,9.0,4-2,Under,-3.0
04/14,Away,San Diego,10,7.5,4-10,Over,+6.5
04/15,Away,San Diego,10,8.5,2-1,Under,-5.5
04/16,Away,San Diego,10,7.5,2-4,Under,-1.5
04/18,Home,Arizona,8,11.5,13-11,Over,+12.5
04/19,Home,Arizona,8,8.0,6-2,Push,0.0
04/20,Home,Arizona,8,7.5,2-3,Under,-2.5
04/22,Home,LA Dodgers,1,9.0,11-10,Over,+12.0
04/23,Home,LA Dodgers,1,9.0,7-6,Over,+4.0
04/25,Home,Philadelphia,6,8.0,4-0,Under,-4.0
04/26,Home,Philadelphia,6,7.0,4-10,Over,+7.0
04/27,Home,Philadelphia,6,8.0,1-3,Under,-4.0
04/29,Away,Pittsburgh,24,8.5,9-0,Over,+0.5
04/30,Away,Pittsburgh,24,9.0,3-4,Under,-2.0
05/01,Away,Pittsburgh,24,8.0,8-3,Over,+3.0
05/02,Away,Milwaukee,18,9.0,10-0,Over,+1.0
05/03,Away,Milwaukee,18,8.5,6-2,Under,-0.5
05/04,Away,Milwaukee,18,8.0,0-4,Under,-4.0
05/05,Home,SF Giants,15,7.5,9-2,Over,+3.5
05/06,Home,SF Giants,15,8.5,5-14,Over,+10.5
05/07,Home,SF Giants,15,7.5,1-3,Under,-3.5
05/09,Away,NY Mets,3,8.0,2-7,Over,+1.0
05/10,Away,NY Mets,3,8.5,6-5,Over,+2.5
05/11,Away,NY Mets,3,8.0,2-6,Push,0.0
05/12,Home,Miami,28,8.5,5-2,Under,-1.5
05/13,Home,Miami,28,8.0,5-4,Over,+1.0
05/14,Home,Miami,28,7.5,1-3,Under,-3.5
05/16,Home,Chi Sox,29,11.5,13-3,Over,+4.5
05/17,Home,Chi Sox,29,10.0,7-3,Push,0.0
05/18,Home,Chi Sox,29,7.5,6-2,Over,+0.5
05/19,Away,Miami,28,8.5,7-8,Over,+6.5
05/20,Away,Miami,28,8.5,14-1,Over,+6.5
05/21,Away,Miami,28,9.0,2-1,Under,-6.0
