# Data scraped on: 2025-05-22 19:37:28
Trend,Run Line Record,Cover %,MOV,Run Line +/-
With Rest Advantage,2-0-0,100.0%,6.0,+6.0
With Rest Disadvantage,1-0-0,100.0%,4.0,+5.5
Non-League Games,8-1-0,88.9%,5.7,+4.5
1 Day Off,6-2-0,75.0%,2.5,+2.5
After A Loss,14-6-0,70.0%,4.0,+4.0
As Home Underdog,2-1-0,66.7%,-1.0,+0.5
Division Games,4-2-0,66.7%,3.8,+2.8
As Home Team,13-10-0,56.5%,1.4,+0.3
As Home Favorite,11-9-0,55.0%,1.8,+0.3
As Favorite,17-14-0,54.8%,2.8,+1.3
As Away Favorite,6-5-0,54.5%,4.5,+3.0
All Games,26-24-0,52.0%,1.7,+1.3
As Away Team,13-12-0,52.0%,2.2,+2.4
Regular Season Games,26-24-0,52.0%,1.7,+1.3
As Away Underdog,7-7-0,50.0%,0.4,+1.9
4+ Days Off,1-1-0,50.0%,0.5,+2.0
Non-Division Games,22-22-0,50.0%,1.4,+1.1
With Equal Rest,23-24-0,48.9%,1.4,+1.0
No Rest,19-21-0,47.5%,1.6,+1.0
As Underdog,9-10-0,47.4%,-0.2,+1.3
League Games,18-23-0,43.9%,0.8,+0.6
After A Win,12-17-0,41.4%,0.2,-0.5
At Neutral Site,0-2-0,0.0%,-3.0,-1.5
