# Data scraped on: 2025-05-22 19:37:07
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
With Rest Advantage,2-0-0,100.0%,6.0,+6.0
With Rest Disadvantage,1-0-0,100.0%,4.0,+5.5
Non-League Games,8-1-0,88.9%,5.7,+4.5
After A Loss,15-5-0,75.0%,4.0,+4.0
1 Day Off,6-2-0,75.0%,2.5,+2.5
As Away Favorite,8-3-0,72.7%,4.5,+3.0
As Favorite,21-10-0,67.7%,2.8,+1.3
As Home Underdog,2-1-0,66.7%,-1.0,+0.5
Division Games,4-2-0,66.7%,3.8,+2.8
As Home Team,15-8-0,65.2%,1.4,+0.3
As Home Favorite,13-7-0,65.0%,1.8,+0.3
All Games,30-20-0,60.0%,1.7,+1.3
As Away Team,15-10-0,60.0%,2.2,+2.4
Regular Season Games,30-20-0,60.0%,1.7,+1.3
Non-Division Games,26-18-0,59.1%,1.4,+1.1
No Rest,23-17-0,57.5%,1.6,+1.0
With Equal Rest,27-20-0,57.4%,1.4,+1.0
League Games,22-19-0,53.7%,0.8,+0.6
After A Win,15-14-0,51.7%,0.2,-0.5
As Away Underdog,7-7-0,50.0%,0.4,+1.9
4+ Days Off,1-1-0,50.0%,0.5,+2.0
As Underdog,9-10-0,47.4%,-0.2,+1.3
At Neutral Site,0-2-0,0.0%,-3.0,-1.5
