# Data scraped on: 2025-05-22 19:37:54
Date,Opponent,Opp Rank,H/A/N,Score
03/27,LA Angels,26,Home,W 8-1
03/29,LA Angels,26,Home,L 0-1
03/30,LA Angels,26,Home,L 2-3
03/31,Minnesota,12,Home,W 9-0
04/01,Minnesota,12,Home,L 3-8
04/02,Minnesota,12,Home,L 1-6
04/04,at Detroit,7,Away,L 4-7
04/05,at Detroit,7,Away,L 2-7
04/06,at Detroit,7,Away,L 3-4
04/08,at Cleveland,23,Away,L 0-1
04/09,at Cleveland,23,Away,L 2-3
04/10,at Cleveland,23,Away,L 1-6
04/11,Boston,9,Home,W 11-1
04/12,Boston,9,Home,W 3-2
04/13,Boston,9,Home,L 1-3
04/15,Sacramento,27,Home,L 3-12
04/16,Sacramento,27,Home,L 1-3
04/17,Sacramento,27,Home,L 0-8
04/18,at Boston,9,Away,L 3-10
04/19,at Boston,9,Away,L 3-4
04/20,at Boston,9,Away,W 8-4
04/21,at Boston,9,Away,L 2-4
04/22,at Minnesota,12,Away,L 2-4
04/23,at Minnesota,12,Away,L 3-6
04/24,at Minnesota,12,Away,W 3-0
04/25,at Sacramento,27,Away,L 5-6
04/26,at Sacramento,27,Away,W 10-3
04/27,at Sacramento,27,Away,L 2-3
04/29,Milwaukee,18,Home,L 2-7
04/30,Milwaukee,18,Home,L 4-6
05/01,Milwaukee,18,Home,W 8-0
05/02,Houston,11,Home,W 7-3
05/03,Houston,11,Home,L 3-8
05/04,Houston,11,Home,W 5-4
05/05,at Kansas City,20,Away,L 0-3
05/06,at Kansas City,20,Away,L 3-4
05/07,at Kansas City,20,Away,L 1-2
05/08,at Kansas City,20,Away,L 0-10
05/09,Miami,28,Home,W 6-2
05/10,Miami,28,Home,L 1-3
05/11,Miami,28,Home,W 4-2
05/13,at Cincinnati,16,Away,W 5-1
05/14,at Cincinnati,16,Away,W 4-2
05/15,at Cincinnati,16,Away,L 1-7
05/16,at Chi Cubs,5,Away,L 3-13
05/17,at Chi Cubs,5,Away,L 3-7
05/18,at Chi Cubs,5,Away,L 2-6
05/19,Seattle,13,Home,L 1-5
05/20,Seattle,13,Home,W 1-0
05/21,Seattle,13,Home,L 5-6
