# Data scraped on: 2025-05-22 19:37:43
Date,H/A/N,Opponent,Opp Rank,Total,Score,Result,Diff
03/27,Home,LA Angels,26,7.5,8-1,Over,+1.5
03/29,Home,LA Angels,26,8.0,0-1,Under,-7.0
03/30,Home,LA Angels,26,8.5,2-3,Under,-3.5
03/31,Home,Minnesota,12,7.0,9-0,Over,+2.0
04/01,Home,Minnesota,12,7.5,3-8,Over,+3.5
04/02,Home,Minnesota,12,7.0,1-6,Push,0.0
04/04,Away,Detroit,7,7.0,4-7,Over,+4.0
04/05,Away,Detroit,7,7.5,2-7,Over,+1.5
04/06,Away,Detroit,7,7.5,3-4,Under,-0.5
04/08,Away,Cleveland,23,7.5,0-1,Under,-6.5
04/09,Away,Cleveland,23,7.5,2-3,Under,-2.5
04/10,Away,Cleveland,23,7.5,1-6,Under,-0.5
04/11,Home,Boston,9,7.5,11-1,Over,+4.5
04/12,Home,Boston,9,7.5,3-2,Under,-2.5
04/13,Home,Boston,9,7.0,1-3,Under,-3.0
04/15,Home,Sacramento,27,7.5,3-12,Over,+7.5
04/16,Home,Sacramento,27,7.5,1-3,Under,-3.5
04/17,Home,Sacramento,27,8.0,0-8,Push,0.0
04/18,Away,Boston,9,9.5,3-10,Over,+3.5
04/19,Away,Boston,9,9.0,3-4,Under,-2.0
04/20,Away,Boston,9,9.5,8-4,Over,+2.5
04/21,Away,Boston,9,9.0,2-4,Under,-3.0
04/22,Away,Minnesota,12,8.5,2-4,Under,-2.5
04/23,Away,Minnesota,12,8.5,3-6,Over,+0.5
04/24,Away,Minnesota,12,7.5,3-0,Under,-4.5
04/25,Away,Sacramento,27,9.5,5-6,Over,+1.5
04/26,Away,Sacramento,27,9.0,10-3,Over,+4.0
04/27,Away,Sacramento,27,9.0,2-3,Under,-4.0
04/29,Home,Milwaukee,18,8.0,2-7,Over,+1.0
04/30,Home,Milwaukee,18,7.5,4-6,Over,+2.5
05/01,Home,Milwaukee,18,9.0,8-0,Under,-1.0
05/02,Home,Houston,11,8.0,7-3,Over,+2.0
05/03,Home,Houston,11,7.5,3-8,Over,+3.5
05/04,Home,Houston,11,8.0,5-4,Over,+1.0
05/05,Away,Kansas City,20,7.5,0-3,Under,-4.5
05/06,Away,Kansas City,20,8.5,3-4,Under,-1.5
05/07,Away,Kansas City,20,8.0,1-2,Under,-5.0
05/08,Away,Kansas City,20,8.5,0-10,Over,+1.5
05/09,Home,Miami,28,7.5,6-2,Over,+0.5
05/10,Home,Miami,28,8.0,1-3,Under,-4.0
05/11,Home,Miami,28,8.0,4-2,Under,-2.0
05/13,Away,Cincinnati,16,9.0,5-1,Under,-3.0
05/14,Away,Cincinnati,16,8.5,4-2,Under,-2.5
05/15,Away,Cincinnati,16,9.5,1-7,Under,-1.5
05/16,Away,Chi Cubs,5,11.5,3-13,Over,+4.5
05/17,Away,Chi Cubs,5,10.0,3-7,Push,0.0
05/18,Away,Chi Cubs,5,7.5,2-6,Over,+0.5
05/19,Home,Seattle,13,8.0,1-5,Under,-2.0
05/20,Home,Seattle,13,8.5,1-0,Under,-7.5
05/21,Home,Seattle,13,8.5,5-6,Over,+2.5
