# Data scraped on: 2025-05-22 19:37:33
Trend,Over Record,Over %,Under %,Total +/-
4+ Days Off,1-0-0,100.0%,0.0%,+1.5
With Rest Disadvantage,4-1-0,80.0%,20.0%,+1.6
As Home Team,12-10-2,54.5%,45.5%,-0.2
As Home Underdog,12-10-2,54.5%,45.5%,-0.2
After A Loss,16-15-3,51.6%,48.4%,-0.1
1 Day Off,3-3-0,50.0%,50.0%,-0.7
Non-Division Games,16-16-2,50.0%,50.0%,-0.3
League Games,17-19-2,47.2%,52.8%,-0.5
All Games,22-25-3,46.8%,53.2%,-0.5
As Underdog,22-25-3,46.8%,53.2%,-0.5
Regular Season Games,22-25-3,46.8%,53.2%,-0.5
Non-League Games,5-6-1,45.5%,54.5%,-0.4
No Rest,18-22-3,45.0%,55.0%,-0.5
With Equal Rest,18-24-3,42.9%,57.1%,-0.7
As Away Team,10-15-1,40.0%,60.0%,-0.8
As Away Underdog,10-15-1,40.0%,60.0%,-0.8
Division Games,6-9-1,40.0%,60.0%,-0.9
After A Win,5-10-0,33.3%,66.7%,-1.5
