# Data scraped on: 2025-05-22 19:37:49
Date,H/A/N,Opponent,Opp Rank,CHW Line,CHW Odds,Result,Diff
03/27,Home,LA Angels,26,+1.5,-120,W by 7,+8.5
03/29,Home,LA Angels,26,+1.5,-114,L by 1,+0.5
03/30,Home,LA Angels,26,+1.5,-149,L by 1,+0.5
03/31,Home,Minnesota,12,+1.5,-105,W by 9,+10.5
04/01,Home,Minnesota,12,+1.5,-122,L by 5,-3.5
04/02,Home,Minnesota,12,+1.5,-110,L by 5,-3.5
04/04,Away,Detroit,7,+1.5,-112,L by 3,-1.5
04/05,Away,Detroit,7,+1.5,-110,L by 5,-3.5
04/06,Away,Detroit,7,+1.5,-135,L by 1,+0.5
04/08,Away,Cleveland,23,+1.5,-130,L by 1,+0.5
04/09,Away,Cleveland,23,+1.5,-148,L by 1,+0.5
04/10,Away,Cleveland,23,+1.5,-100,L by 5,-3.5
04/11,Home,Boston,9,+1.5,-125,W by 10,+11.5
04/12,Home,Boston,9,+1.5,-125,W by 1,+2.5
04/13,Home,Boston,9,+1.5,+110,L by 2,-0.5
04/15,Home,Sacramento,27,+1.5,-120,L by 9,-7.5
04/16,Home,Sacramento,27,+1.5,-127,L by 2,-0.5
04/17,Home,Sacramento,27,+1.5,-152,L by 8,-6.5
04/18,Away,Boston,9,+1.5,-108,L by 7,-5.5
04/19,Away,Boston,9,+1.5,+142,L by 1,+0.5
04/20,Away,Boston,9,+1.5,+120,W by 4,+5.5
04/21,Away,Boston,9,+1.5,+124,L by 2,-0.5
04/22,Away,Minnesota,12,+1.5,+104,L by 2,-0.5
04/23,Away,Minnesota,12,+1.5,+105,L by 3,-1.5
04/24,Away,Minnesota,12,+1.5,-121,W by 3,+4.5
04/25,Away,Sacramento,27,+1.5,+105,L by 1,+0.5
04/26,Away,Sacramento,27,+1.5,-112,W by 7,+8.5
04/27,Away,Sacramento,27,+1.5,-122,L by 1,+0.5
04/29,Home,Milwaukee,18,+1.5,+121,L by 5,-3.5
04/30,Home,Milwaukee,18,+1.5,-132,L by 2,-0.5
05/01,Home,Milwaukee,18,+1.5,-118,W by 8,+9.5
05/02,Home,Houston,11,+1.5,+114,W by 4,+5.5
05/03,Home,Houston,11,+1.5,+114,L by 5,-3.5
05/04,Home,Houston,11,+1.5,-114,W by 1,+2.5
05/05,Away,Kansas City,20,+1.5,-108,L by 3,-1.5
05/06,Away,Kansas City,20,+1.5,-102,L by 1,+0.5
05/07,Away,Kansas City,20,+1.5,-118,L by 1,+0.5
05/08,Away,Kansas City,20,+1.5,+103,L by 10,-8.5
05/09,Home,Miami,28,+1.5,-135,W by 4,+5.5
05/10,Home,Miami,28,+1.5,-180,L by 2,-0.5
05/11,Home,Miami,28,+1.5,-145,W by 2,+3.5
05/13,Away,Cincinnati,16,+1.5,-110,W by 4,+5.5
05/14,Away,Cincinnati,16,+1.5,-113,W by 2,+3.5
05/15,Away,Cincinnati,16,+1.5,+105,L by 6,-4.5
05/16,Away,Chi Cubs,5,+1.5,+100,L by 10,-8.5
05/17,Away,Chi Cubs,5,+1.5,+135,L by 4,-2.5
05/18,Away,Chi Cubs,5,+1.5,+103,L by 4,-2.5
05/19,Home,Seattle,13,+1.5,-103,L by 4,-2.5
05/20,Home,Seattle,13,+1.5,-109,W by 1,+2.5
05/21,Home,Seattle,13,+1.5,-135,L by 1,+0.5
