# Data scraped on: 2025-05-22 19:37:58
Trend,Run Line Record,Cover %,MOV,Run Line +/-
4+ Days Off,1-0-0,100.0%,7.0,+8.5
Non-Division Games,19-15-0,55.9%,-0.7,+0.8
League Games,21-17-0,55.3%,-1.2,+0.3
As Home Team,13-11-0,54.2%,-0.2,+1.3
As Home Underdog,13-11-0,54.2%,-0.2,+1.3
After A Win,8-7-0,53.3%,-1.2,+0.3
With Equal Rest,24-21-0,53.3%,-1.0,+0.5
All Games,26-24-0,52.0%,-1.1,+0.4
As Underdog,26-24-0,52.0%,-1.1,+0.4
Regular Season Games,26-24-0,52.0%,-1.1,+0.4
No Rest,22-21-0,51.2%,-1.1,+0.4
After A Loss,17-17-0,50.0%,-1.4,+0.1
As Away Team,13-13-0,50.0%,-2.0,-0.5
As Away Underdog,13-13-0,50.0%,-2.0,-0.5
1 Day Off,3-3-0,50.0%,-2.5,-1.0
Division Games,7-9-0,43.8%,-2.1,-0.6
Non-League Games,5-7-0,41.7%,-1.1,+0.4
With Rest Disadvantage,2-3-0,40.0%,-2.2,-0.7
