# Data scraped on: 2025-05-22 19:38:09
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
With Rest Advantage,1-0-0,100.0%,1.0,-0.5
1 Day Off,4-2-0,66.7%,-0.3,-1.3
As Home Underdog,5-3-0,62.5%,2.6,+4.1
After A Win,13-12-0,52.0%,0.0,0.0
As Home Team,13-12-0,52.0%,0.4,-0.1
As Underdog,13-13-0,50.0%,1.3,+2.8
As Away Favorite,4-4-0,50.0%,1.1,-0.4
Division Games,7-7-0,50.0%,0.3,-0.1
Non-League Games,9-9-0,50.0%,1.7,+2.2
With Rest Disadvantage,1-1-0,50.0%,-1.0,+0.5
All Games,25-26-0,49.0%,0.6,+0.7
Regular Season Games,25-26-0,49.0%,0.6,+0.7
No Rest,21-22-0,48.8%,1.0,+1.3
Non-Division Games,18-19-0,48.6%,0.8,+1.0
League Games,16-17-0,48.5%,0.1,-0.2
After A Loss,12-13-0,48.0%,1.4,+1.5
As Favorite,12-13-0,48.0%,0.0,-1.5
With Equal Rest,23-25-0,47.9%,0.7,+0.7
As Home Favorite,8-9-0,47.1%,-0.6,-2.1
As Away Team,12-14-0,46.2%,0.8,+1.4
As Away Underdog,8-10-0,44.4%,0.7,+2.2
4+ Days Off,0-1-0,0.0%,-2.0,-3.5
Second Game of Doubleheader,0-1-0,0.0%,-8.0,-9.5
