# Data scraped on: 2025-05-22 19:38:55
Date,Opponent,Opp Rank,H/A/N,Score
03/27,at Kansas City,20,Away,W 7-4
03/29,at Kansas City,20,Away,L 3-4
03/30,at Kansas City,20,Away,W 6-2
03/31,at San Diego,10,Away,L 2-7
04/01,at San Diego,10,Away,L 0-7
04/02,at San Diego,10,Away,L 2-5
04/04,at LA Angels,26,Away,W 8-6
04/05,at LA Angels,26,Away,L 4-10
04/06,at LA Angels,26,Away,L 2-6
04/08,Chi Sox,29,Home,W 1-0
04/09,Chi Sox,29,Home,W 3-2
04/10,Chi Sox,29,Home,W 6-1
04/11,Kansas City,20,Home,W 7-0
04/12,Kansas City,20,Home,W 6-3
04/13,Kansas City,20,Home,L 2-4
04/15,at Baltimore,22,Away,W 6-3
04/16,at Baltimore,22,Away,L 1-9
04/17,at Baltimore,22,Away,L 2-6
04/18,at Pittsburgh,24,Away,W 10-7
04/19,at Pittsburgh,24,Away,W 3-0
04/20,at Pittsburgh,24,Away,W 5-4
04/21,NY Yankees,2,Home,W 6-4
04/22,NY Yankees,2,Home,W 3-2
04/23,NY Yankees,2,Home,L 1-5
04/26,Boston,9,Home,W 5-4
04/26,Boston,9,Home,L 3-7
04/27,Boston,9,Home,L 3-13
04/28,Minnesota,12,Home,L 1-11
04/29,Minnesota,12,Home,W 2-1
04/30,Minnesota,12,Home,W 4-2
05/01,Minnesota,12,Home,W 4-3
05/02,at Toronto,21,Away,L 3-5
05/03,at Toronto,21,Away,W 5-3
05/04,at Toronto,21,Away,W 5-4
05/06,at Washington,25,Away,L 9-10
05/06,at Washington,25,Away,W 9-1
05/07,at Washington,25,Away,W 8-6
05/09,Philadelphia,6,Home,W 6-0
05/10,Philadelphia,6,Home,L 1-7
05/11,Philadelphia,6,Home,L 0-3
05/12,Milwaukee,18,Home,W 5-0
05/13,Milwaukee,18,Home,W 2-0
05/14,Milwaukee,18,Home,L 5-9
05/16,at Cincinnati,16,Away,L 4-5
05/17,at Cincinnati,16,Away,L 1-4
05/18,at Cincinnati,16,Away,L 1-3
05/19,at Minnesota,12,Away,L 5-6
05/21,at Minnesota,12,Away,W 5-1
