# Data scraped on: 2025-05-22 19:38:35
Trend,Over Record,Over %,Under %,Total +/-
2-3 Days Off,1-0-0,100.0%,0.0%,+1.5
4+ Days Off,1-0-0,100.0%,0.0%,+2.5
Second Game of Doubleheader,2-0-0,100.0%,0.0%,+1.5
As Away Favorite,6-2-1,75.0%,25.0%,+3.2
As Favorite,11-7-1,61.1%,38.9%,+1.4
As Away Team,14-9-3,60.9%,39.1%,+1.0
Non-Division Games,16-13-4,55.2%,44.8%,+0.6
League Games,15-13-2,53.6%,46.4%,+0.4
As Away Underdog,8-7-2,53.3%,46.7%,-0.2
All Games,22-22-4,50.0%,50.0%,+0.2
After A Win,12-12-1,50.0%,50.0%,+0.3
As Home Favorite,5-5-0,50.0%,50.0%,-0.2
With Rest Advantage,1-1-1,50.0%,50.0%,0.0
With Equal Rest,21-21-3,50.0%,50.0%,+0.2
Regular Season Games,22-22-4,50.0%,50.0%,+0.2
After A Loss,9-10-3,47.4%,52.6%,0.0
No Rest,16-18-2,47.1%,52.9%,-0.1
Non-League Games,7-9-2,43.8%,56.3%,-0.1
As Underdog,11-15-3,42.3%,57.7%,-0.6
Division Games,6-9-0,40.0%,60.0%,-0.7
As Home Team,8-13-1,38.1%,61.9%,-0.7
1 Day Off,2-4-2,33.3%,66.7%,+0.6
As Home Underdog,3-8-1,27.3%,72.7%,-1.2
