# Data scraped on: 2025-05-22 19:38:50
Date,H/A/N,Opponent,Opp Rank,CLE Line,CLE Odds,Result,Diff
03/27,Away,Kansas City,20,+1.5,-146,W by 3,+4.5
03/29,Away,Kansas City,20,+1.5,-206,L by 1,+0.5
03/30,Away,Kansas City,20,+1.5,-209,W by 4,+5.5
03/31,Away,San Diego,10,+1.5,-180,L by 5,-3.5
04/01,Away,San Diego,10,+1.5,-148,L by 7,-5.5
04/02,Away,San Diego,10,+1.5,-142,L by 3,-1.5
04/04,Away,LA Angels,26,-1.5,+145,W by 2,+0.5
04/05,Away,LA Angels,26,-1.5,+117,L by 6,-7.5
04/06,Away,LA Angels,26,-1.5,+142,L by 4,-5.5
04/08,Home,Chi Sox,29,-1.5,+110,W by 1,-0.5
04/09,Home,Chi Sox,29,-1.5,+124,W by 1,-0.5
04/10,Home,Chi Sox,29,-1.5,-110,W by 5,+3.5
04/11,Home,Kansas City,20,-1.5,+175,W by 7,+5.5
04/12,Home,Kansas City,20,-1.5,+162,W by 3,+1.5
04/13,Home,Kansas City,20,+1.5,-148,L by 2,-0.5
04/15,Away,Baltimore,22,+1.5,-162,W by 3,+4.5
04/16,Away,Baltimore,22,+1.5,-185,L by 8,-6.5
04/17,Away,Baltimore,22,+1.5,-186,L by 4,-2.5
04/18,Away,Pittsburgh,24,-1.5,+138,W by 3,+1.5
04/19,Away,Pittsburgh,24,+1.5,-140,W by 3,+4.5
04/20,Away,Pittsburgh,24,+1.5,-185,W by 1,+2.5
04/21,Home,NY Yankees,2,+1.5,-155,W by 2,+3.5
04/22,Home,NY Yankees,2,+1.5,-198,W by 1,+2.5
04/23,Home,NY Yankees,2,+1.5,-112,L by 4,-2.5
04/26,Home,Boston,9,+1.5,-174,W by 1,+2.5
04/26,Home,Boston,9,+1.5,-164,L by 4,-2.5
04/27,Home,Boston,9,-1.5,+203,L by 10,-11.5
04/28,Home,Minnesota,12,-1.5,+175,L by 10,-11.5
04/29,Home,Minnesota,12,-1.5,+157,W by 1,-0.5
04/30,Home,Minnesota,12,+1.5,-183,W by 2,+3.5
05/01,Home,Minnesota,12,+1.5,-153,W by 1,+2.5
05/02,Away,Toronto,21,+1.5,-143,L by 2,-0.5
05/03,Away,Toronto,21,+1.5,-157,W by 2,+3.5
05/04,Away,Toronto,21,+1.5,-229,W by 1,+2.5
05/06,Away,Washington,25,-1.5,+137,L by 1,-2.5
05/06,Away,Washington,25,-1.5,+140,W by 8,+6.5
05/07,Away,Washington,25,-1.5,+142,W by 2,+0.5
05/09,Home,Philadelphia,6,+1.5,-175,W by 6,+7.5
05/10,Home,Philadelphia,6,+1.5,-152,L by 6,-4.5
05/11,Home,Philadelphia,6,+1.5,-123,L by 3,-1.5
05/12,Home,Milwaukee,18,+1.5,-166,W by 5,+6.5
05/13,Home,Milwaukee,18,-1.5,+154,W by 2,+0.5
05/14,Home,Milwaukee,18,-1.5,+160,L by 4,-5.5
05/16,Away,Cincinnati,16,-1.5,+137,L by 1,-2.5
05/17,Away,Cincinnati,16,-1.5,+138,L by 3,-4.5
05/18,Away,Cincinnati,16,+1.5,-179,L by 2,-0.5
05/19,Away,Minnesota,12,+1.5,-160,L by 1,+0.5
05/21,Away,Minnesota,12,+1.5,-220,W by 4,+5.5
