# Data scraped on: 2025-05-22 19:38:40
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
2-3 Days Off,1-0-0,100.0%,1.0,+2.5
4+ Days Off,1-0-0,100.0%,3.0,+4.5
Division Games,11-4-0,73.3%,1.2,+1.3
As Home Favorite,7-3-0,70.0%,-0.4,-1.9
With Rest Advantage,2-1-0,66.7%,2.0,+2.5
As Home Team,14-8-0,63.6%,-0.2,-0.1
1 Day Off,5-3-0,62.5%,1.6,+1.6
League Games,18-12-0,60.0%,-0.4,0.0
As Home Underdog,7-5-0,58.3%,-0.1,+1.4
As Favorite,11-8-0,57.9%,-0.2,-1.7
After A Win,14-11-0,56.0%,-0.2,+0.2
All Games,26-22-0,54.2%,-0.4,0.0
Regular Season Games,26-22-0,54.2%,-0.4,0.0
With Equal Rest,24-21-0,53.3%,-0.5,-0.2
As Underdog,15-14-0,51.7%,-0.4,+1.1
After A Loss,11-11-0,50.0%,-0.6,-0.5
No Rest,18-18-0,50.0%,-1.1,-0.7
Second Game of Doubleheader,1-1-0,50.0%,2.0,+2.0
As Away Underdog,8-9-0,47.1%,-0.7,+0.8
As Away Team,12-14-0,46.2%,-0.5,0.0
Non-Division Games,15-18-0,45.5%,-1.1,-0.7
As Away Favorite,4-5-0,44.4%,0.0,-1.5
Non-League Games,8-10-0,44.4%,-0.3,-0.1
