# Data scraped on: 2025-05-22 19:39:26
Date,Opponent,Opp Rank,H/A/N,Score
03/28,at Tampa Bay,17,Away,L 2-3
03/29,at Tampa Bay,17,Away,W 2-1
03/30,at Tampa Bay,17,Away,L 4-6
03/31,at Philadelphia,6,Away,L 1-6
04/02,at Philadelphia,6,Away,L 1-5
04/03,at Philadelphia,6,Away,L 1-3
04/04,Sacramento,27,Home,L 3-6
04/05,Sacramento,27,Home,L 4-7
04/06,Sacramento,27,Home,W 12-5
04/08,Milwaukee,18,Home,L 1-7
04/09,Milwaukee,18,Home,L 2-17
04/10,Milwaukee,18,Home,W 7-2
04/11,at San Diego,10,Away,L 0-8
04/12,at San Diego,10,Away,L 0-2
04/13,at San Diego,10,Away,L 0-6
04/14,at LA Dodgers,1,Away,L 3-5
04/15,at LA Dodgers,1,Away,L 2-6
04/16,at LA Dodgers,1,Away,L 7-8
04/19,Washington,25,Home,L 11-12
04/20,Washington,25,Home,L 2-3
04/20,Washington,25,Home,W 3-1
04/22,at Kansas City,20,Away,L 3-4
04/24,at Kansas City,20,Away,L 4-7
04/24,at Kansas City,20,Away,L 2-6
04/25,Cincinnati,16,Home,L 7-8
04/26,Cincinnati,16,Home,L 4-6
04/27,Cincinnati,16,Home,L 1-8
04/28,Atlanta,4,Home,L 3-6
04/29,Atlanta,4,Home,L 2-8
04/30,Atlanta,4,Home,W 2-1
05/01,at SF Giants,15,Away,W 4-3
05/02,at SF Giants,15,Away,L 0-4
05/03,at SF Giants,15,Away,L 3-6
05/04,at SF Giants,15,Away,L 3-9
05/07,Detroit,7,Home,L 6-8
05/08,Detroit,7,Home,L 2-10
05/08,Detroit,7,Home,L 1-11
05/09,San Diego,10,Home,L 9-13
05/10,San Diego,10,Home,L 0-21
05/11,San Diego,10,Home,W 9-3
05/12,at Texas,14,Away,L 1-2
05/13,at Texas,14,Away,L 1-4
05/14,at Texas,14,Away,L 3-8
05/16,at Arizona,8,Away,L 0-8
05/17,at Arizona,8,Away,W 14-12
05/18,at Arizona,8,Away,L 0-1
05/19,Philadelphia,6,Home,L 3-9
05/20,Philadelphia,6,Home,L 4-7
05/21,Philadelphia,6,Home,L 5-9
05/22,Philadelphia,6,Home,L 0-2
