# Data scraped on: 2025-05-22 19:39:15
Date,H/A/N,Opponent,Opp Rank,Total,Score,Result,Diff
03/28,Away,Tampa Bay,17,8.0,2-3,Under,-3.0
03/29,Away,Tampa Bay,17,8.5,2-1,Under,-5.5
03/30,Away,Tampa Bay,17,7.5,4-6,Over,+2.5
03/31,Away,Philadelphia,6,9.0,1-6,Under,-2.0
04/02,Away,Philadelphia,6,7.0,1-5,Under,-1.0
04/03,Away,Philadelphia,6,9.5,1-3,Under,-5.5
04/04,Home,Sacramento,27,9.0,3-6,Push,0.0
04/05,Home,Sacramento,27,9.5,4-7,Over,+1.5
04/06,Home,Sacramento,27,10.5,12-5,Over,+6.5
04/08,Home,Milwaukee,18,9.5,1-7,Under,-1.5
04/09,Home,Milwaukee,18,11.0,2-17,Over,+8.0
04/10,Home,Milwaukee,18,10.5,7-2,Under,-1.5
04/11,Away,San Diego,10,7.5,0-8,Over,+0.5
04/12,Away,San Diego,10,8.0,0-2,Under,-6.0
04/13,Away,San Diego,10,7.0,0-6,Under,-1.0
04/14,Away,LA Dodgers,1,8.5,3-5,Under,-0.5
04/15,Away,LA Dodgers,1,8.5,2-6,Under,-0.5
04/16,Away,LA Dodgers,1,9.0,7-8,Over,+6.0
04/19,Home,Washington,25,9.5,11-12,Over,+13.5
04/20,Home,Washington,25,10.5,2-3,Under,-5.5
04/20,Home,Washington,25,11.0,3-1,Under,-7.0
04/22,Away,Kansas City,20,8.0,3-4,Under,-1.0
04/24,Away,Kansas City,20,8.0,4-7,Over,+3.0
04/24,Away,Kansas City,20,9.0,2-6,Under,-1.0
04/25,Home,Cincinnati,16,9.5,7-8,Over,+5.5
04/26,Home,Cincinnati,16,10.5,4-6,Under,-0.5
04/27,Home,Cincinnati,16,11.0,1-8,Under,-2.0
04/28,Home,Atlanta,4,10.5,3-6,Under,-1.5
04/29,Home,Atlanta,4,11.0,2-8,Under,-1.0
04/30,Home,Atlanta,4,10.0,2-1,Under,-7.0
05/01,Away,SF Giants,15,7.5,4-3,Under,-0.5
05/02,Away,SF Giants,15,8.0,0-4,Under,-4.0
05/03,Away,SF Giants,15,8.5,3-6,Over,+0.5
05/04,Away,SF Giants,15,7.5,3-9,Over,+4.5
05/07,Home,Detroit,7,10.0,6-8,Over,+4.0
05/08,Home,Detroit,7,10.0,2-10,Over,+2.0
05/08,Home,Detroit,7,11.0,1-11,Over,+1.0
05/09,Home,San Diego,10,11.5,9-13,Over,+10.5
05/10,Home,San Diego,10,12.0,0-21,Over,+9.0
05/11,Home,San Diego,10,11.5,9-3,Over,+0.5
05/12,Away,Texas,14,8.5,1-2,Under,-5.5
05/13,Away,Texas,14,8.5,1-4,Under,-3.5
05/14,Away,Texas,14,9.0,3-8,Over,+2.0
05/16,Away,Arizona,8,9.0,0-8,Under,-1.0
05/17,Away,Arizona,8,10.0,14-12,Over,+16.0
05/18,Away,Arizona,8,9.0,0-1,Under,-8.0
05/19,Home,Philadelphia,6,10.0,3-9,Over,+2.0
05/20,Home,Philadelphia,6,11.5,4-7,Under,-0.5
05/21,Home,Philadelphia,6,11.0,5-9,Over,+3.0
05/22,Home,Philadelphia,6,11.0,0-2,Under,-9.0
