# Data scraped on: 2025-05-22 19:39:04
Trend,Over Record,Over %,Under %,Total +/-
As Favorite,1-0-0,100.0%,0.0%,+6.5
As Home Favorite,1-0-0,100.0%,0.0%,+6.5
2-3 Days Off,2-0-0,100.0%,0.0%,+8.8
With Rest Advantage,1-0-0,100.0%,0.0%,+13.5
With Rest Disadvantage,3-0-1,100.0%,0.0%,+4.1
Non-League Games,8-6-1,57.1%,42.9%,+0.2
As Home Team,13-11-1,54.2%,45.8%,+1.2
As Home Underdog,12-11-1,52.2%,47.8%,+1.0
Division Games,8-8-0,50.0%,50.0%,+1.6
After A Loss,19-21-1,47.5%,52.5%,+0.9
No Rest,17-21-1,44.7%,55.3%,+0.2
All Games,21-28-1,42.9%,57.1%,+0.3
Regular Season Games,21-28-1,42.9%,57.1%,+0.3
As Underdog,20-28-1,41.7%,58.3%,+0.2
Non-Division Games,13-20-1,39.4%,60.6%,-0.3
With Equal Rest,17-28-0,37.8%,62.2%,-0.3
League Games,13-22-0,37.1%,62.9%,+0.4
Second Game of Doubleheader,1-2-0,33.3%,66.7%,-2.3
As Away Team,8-17-0,32.0%,68.0%,-0.6
As Away Underdog,8-17-0,32.0%,68.0%,-0.6
After A Win,2-6-0,25.0%,75.0%,-2.2
1 Day Off,1-4-0,20.0%,80.0%,-0.3
4+ Days Off,0-1-0,0.0%,100.0%,-3.0
