# Data scraped on: 2025-05-22 19:39:21
Date,H/A/N,Opponent,Opp Rank,COL Line,COL Odds,Result,Diff
03/28,Away,Tampa Bay,17,+1.5,-115,L by 1,+0.5
03/29,Away,Tampa Bay,17,+1.5,-130,W by 1,+2.5
03/30,Away,Tampa Bay,17,+1.5,-134,L by 2,-0.5
03/31,Away,Philadelphia,6,+1.5,+124,L by 5,-3.5
04/02,Away,Philadelphia,6,+1.5,+110,L by 4,-2.5
04/03,Away,Philadelphia,6,+1.5,+102,L by 2,-0.5
04/04,Home,Sacramento,27,+1.5,-166,L by 3,-1.5
04/05,Home,Sacramento,27,+1.5,-175,L by 3,-1.5
04/06,Home,Sacramento,27,-1.5,+165,W by 7,+5.5
04/08,Home,Milwaukee,18,+1.5,-115,L by 6,-4.5
04/09,Home,Milwaukee,18,+1.5,-120,L by 15,-13.5
04/10,Home,Milwaukee,18,+1.5,-142,W by 5,+6.5
04/11,Away,San Diego,10,+1.5,-120,L by 8,-6.5
04/12,Away,San Diego,10,+1.5,-145,L by 2,-0.5
04/13,Away,San Diego,10,+1.5,-105,L by 6,-4.5
04/14,Away,LA Dodgers,1,+1.5,+146,L by 2,-0.5
04/15,Away,LA Dodgers,1,+1.5,+121,L by 4,-2.5
04/16,Away,LA Dodgers,1,+1.5,+130,L by 1,+0.5
04/19,Home,Washington,25,+1.5,-135,L by 1,+0.5
04/20,Home,Washington,25,+1.5,-170,L by 1,+0.5
04/20,Home,Washington,25,+1.5,-155,W by 2,+3.5
04/22,Away,Kansas City,20,+1.5,-102,L by 1,+0.5
04/24,Away,Kansas City,20,+1.5,+120,L by 3,-1.5
04/24,Away,Kansas City,20,+1.5,-122,L by 4,-2.5
04/25,Home,Cincinnati,16,+1.5,-142,L by 1,+0.5
04/26,Home,Cincinnati,16,+1.5,+121,L by 2,-0.5
04/27,Home,Cincinnati,16,+1.5,-135,L by 7,-5.5
04/28,Home,Atlanta,4,+1.5,-105,L by 3,-1.5
04/29,Home,Atlanta,4,+1.5,+113,L by 6,-4.5
04/30,Home,Atlanta,4,+1.5,+152,W by 1,+2.5
05/01,Away,SF Giants,15,+1.5,-110,W by 1,+2.5
05/02,Away,SF Giants,15,+1.5,+115,L by 4,-2.5
05/03,Away,SF Giants,15,+1.5,+120,L by 3,-1.5
05/04,Away,SF Giants,15,+1.5,+145,L by 6,-4.5
05/07,Home,Detroit,7,+1.5,-104,L by 2,-0.5
05/08,Home,Detroit,7,+1.5,-105,L by 8,-6.5
05/08,Home,Detroit,7,+1.5,+114,L by 10,-8.5
05/09,Home,San Diego,10,+1.5,+110,L by 4,-2.5
05/10,Home,San Diego,10,+1.5,+141,L by 21,-19.5
05/11,Home,San Diego,10,+1.5,+180,W by 6,+7.5
05/12,Away,Texas,14,+1.5,+111,L by 1,+0.5
05/13,Away,Texas,14,+1.5,-108,L by 3,-1.5
05/14,Away,Texas,14,+1.5,-108,L by 5,-3.5
05/16,Away,Arizona,8,+1.5,+158,L by 8,-6.5
05/17,Away,Arizona,8,+1.5,+162,W by 2,+3.5
05/18,Away,Arizona,8,+1.5,+128,L by 1,+0.5
05/19,Home,Philadelphia,6,+1.5,+148,L by 6,-4.5
05/20,Home,Philadelphia,6,+1.5,+165,L by 3,-1.5
05/21,Home,Philadelphia,6,+1.5,+106,L by 4,-2.5
05/22,Home,Philadelphia,6,+1.5,+167,L by 2,-0.5
