# Data scraped on: 2025-05-22 19:39:31
Trend,Run Line Record,Cover %,MOV,Run Line +/-
As Favorite,1-0-0,100.0%,7.0,+5.5
As Home Favorite,1-0-0,100.0%,7.0,+5.5
4+ Days Off,1-0-0,100.0%,-1.0,+0.5
With Rest Advantage,1-0-0,100.0%,-1.0,+0.5
After A Win,4-4-0,50.0%,-2.8,-1.3
2-3 Days Off,1-1-0,50.0%,-1.5,0.0
Non-League Games,5-10-0,33.3%,-2.5,-1.2
Second Game of Doubleheader,1-2-0,33.3%,-4.0,-2.5
Non-Division Games,11-23-0,32.4%,-2.9,-1.5
All Games,16-34-0,32.0%,-3.2,-1.7
As Home Team,8-17-0,32.0%,-3.5,-2.1
As Away Team,8-17-0,32.0%,-2.9,-1.4
As Away Underdog,8-17-0,32.0%,-2.9,-1.4
Regular Season Games,16-34-0,32.0%,-3.2,-1.7
League Games,11-24-0,31.4%,-3.5,-2.0
Division Games,5-11-0,31.3%,-3.8,-2.3
With Equal Rest,14-31-0,31.1%,-3.2,-1.7
No Rest,12-27-0,30.8%,-3.1,-1.7
As Underdog,15-34-0,30.6%,-3.4,-1.9
As Home Underdog,7-17-0,29.2%,-3.9,-2.4
After A Loss,11-30-0,26.8%,-3.3,-1.9
With Rest Disadvantage,1-3-0,25.0%,-4.0,-2.5
1 Day Off,1-4-0,20.0%,-4.4,-2.9
