# Data scraped on: 2025-05-22 19:39:09
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
As Favorite,1-0-0,100.0%,7.0,+5.5
As Home Favorite,1-0-0,100.0%,7.0,+5.5
Second Game of Doubleheader,1-2-0,33.3%,-4.0,-2.5
As Home Team,5-20-0,20.0%,-3.5,-2.1
Division Games,3-13-0,18.8%,-3.8,-2.3
No Rest,7-32-0,17.9%,-3.1,-1.7
With Equal Rest,8-37-0,17.8%,-3.2,-1.7
League Games,6-29-0,17.1%,-3.5,-2.0
After A Loss,7-34-0,17.1%,-3.3,-1.9
As Home Underdog,4-20-0,16.7%,-3.9,-2.4
All Games,8-42-0,16.0%,-3.2,-1.7
Regular Season Games,8-42-0,16.0%,-3.2,-1.7
Non-Division Games,5-29-0,14.7%,-2.9,-1.5
As Underdog,7-42-0,14.3%,-3.4,-1.9
Non-League Games,2-13-0,13.3%,-2.5,-1.2
After A Win,1-7-0,12.5%,-2.8,-1.3
As Away Team,3-22-0,12.0%,-2.9,-1.4
As Away Underdog,3-22-0,12.0%,-2.9,-1.4
1 Day Off,0-5-0,0.0%,-4.4,-2.9
2-3 Days Off,0-2-0,0.0%,-1.5,0.0
4+ Days Off,0-1-0,0.0%,-1.0,+0.5
With Rest Advantage,0-1-0,0.0%,-1.0,+0.5
With Rest Disadvantage,0-4-0,0.0%,-4.0,-2.5
