# Data scraped on: 2025-05-22 19:39:57
Date,Opponent,Opp Rank,H/A/N,Score
03/27,at LA Dodgers,1,Away,L 4-5
03/28,at LA Dodgers,1,Away,L 5-8
03/29,at LA Dodgers,1,Away,L 3-7
03/31,at Seattle,13,Away,W 9-6
04/01,at Seattle,13,Away,W 4-1
04/02,at Seattle,13,Away,L 2-3
04/04,Chi Sox,29,Home,W 7-4
04/05,Chi Sox,29,Home,W 7-2
04/06,Chi Sox,29,Home,W 4-3
04/07,NY Yankees,2,Home,W 6-2
04/08,NY Yankees,2,Home,W 5-0
04/09,NY Yankees,2,Home,L 3-4
04/11,at Minnesota,12,Away,W 7-6
04/12,at Minnesota,12,Away,W 4-0
04/13,at Minnesota,12,Away,L 1-5
04/14,at Milwaukee,18,Away,W 9-1
04/15,at Milwaukee,18,Away,L 0-5
04/16,at Milwaukee,18,Away,L 1-5
04/17,Kansas City,20,Home,W 6-1
04/18,Kansas City,20,Home,W 7-3
04/19,Kansas City,20,Home,W 3-1
04/20,Kansas City,20,Home,L 3-4
04/21,San Diego,10,Home,W 6-4
04/22,San Diego,10,Home,L 0-2
04/23,San Diego,10,Home,W 6-0
04/26,Baltimore,22,Home,W 4-3
04/26,Baltimore,22,Home,W 6-2
04/27,Baltimore,22,Home,W 7-0
04/28,at Houston,11,Away,L 5-8
04/29,at Houston,11,Away,L 4-6
04/30,at Houston,11,Away,W 7-4
05/01,at LA Angels,26,Away,W 10-4
05/02,at LA Angels,26,Away,W 9-1
05/03,at LA Angels,26,Away,L 2-5
05/04,at LA Angels,26,Away,W 13-1
05/07,at Colorado,30,Away,W 8-6
05/08,at Colorado,30,Away,W 10-2
05/08,at Colorado,30,Away,W 11-1
05/09,Texas,14,Home,W 2-1
05/10,Texas,14,Home,L 3-10
05/11,Texas,14,Home,L 1-6
05/12,Boston,9,Home,W 14-2
05/13,Boston,9,Home,W 10-9
05/14,Boston,9,Home,W 6-5
05/16,at Toronto,21,Away,W 5-4
05/17,at Toronto,21,Away,L 1-2
05/18,at Toronto,21,Away,W 3-2
05/19,at St. Louis,19,Away,L 4-11
05/20,at St. Louis,19,Away,W 5-4
05/21,at St. Louis,19,Away,W 5-1
