# Data scraped on: 2025-05-22 19:39:37
Trend,Over Record,Over %,Under %,Total +/-
1 Day Off,4-0-0,100.0%,0.0%,+4.4
4+ Days Off,1-0-0,100.0%,0.0%,+2.5
With Rest Advantage,4-1-0,80.0%,20.0%,+2.9
After A Loss,12-4-1,75.0%,25.0%,+2.4
As Away Favorite,9-4-0,69.2%,30.8%,+1.1
Non-League Games,10-5-0,66.7%,33.3%,+1.0
As Away Team,18-10-0,64.3%,35.7%,+1.4
As Underdog,12-8-1,60.0%,40.0%,+1.8
As Home Underdog,3-2-1,60.0%,40.0%,+2.3
As Away Underdog,9-6-0,60.0%,40.0%,+1.6
Non-Division Games,22-16-2,57.9%,42.1%,+1.3
All Games,26-21-3,55.3%,44.7%,+1.1
Regular Season Games,26-21-3,55.3%,44.7%,+1.1
With Equal Rest,22-20-3,52.4%,47.6%,+0.8
As Favorite,14-13-2,51.9%,48.1%,+0.5
No Rest,19-19-3,50.0%,50.0%,+0.7
2-3 Days Off,1-1-0,50.0%,50.0%,+1.3
League Games,16-16-3,50.0%,50.0%,+1.1
Second Game of Doubleheader,1-1-0,50.0%,50.0%,0.0
Division Games,4-5-1,44.4%,55.6%,+0.1
After A Win,13-17-2,43.3%,56.7%,+0.3
As Home Team,8-11-3,42.1%,57.9%,+0.7
As Home Favorite,5-9-2,35.7%,64.3%,0.0
